date,close
2026-05-15,4859.59
2026-05-18,4833.52
2026-05-19,4852.88
2026-05-20,4850.7
2026-05-21,4783.1
2026-05-22,4845.1
2026-05-25,4921.6
2026-05-26,4947.85
2026-05-27,4908.17
2026-05-28,4914.21
2026-05-29,4892.12
2026-06-01,4844.26
2026-06-02,4914.56
2026-06-03,4938.81
2026-06-04,4904.75
2026-06-05,4816.92
2026-06-08,4713.64
2026-06-09,4801.81
2026-06-10,4748.59
2026-06-11,4722.41
2026-06-12,4777.32
2026-06-15,4891.71
2026-06-16,4884.23
2026-06-17,4931.39
2026-06-18,4941.6
2026-06-22,5059.66
2026-06-23,4919.39
2026-06-24,4943.02
2026-06-25,5020.1
2026-06-26,4868.22
2026-06-29,4926.92
2026-06-30,4979.43
2026-07-01,4958.98
2026-07-02,4812.3
2026-07-03,4842.17
2026-07-06,4842.0
2026-07-07,4792.26
2026-07-08,4755.53
2026-07-09,4876.31
2026-07-10,4780.79
2026-07-13,4695.38
2026-07-14,4796.5
2026-07-15,4786.78
2026-07-16,4698.43
2026-07-17,4529.1
2026-07-20,4598.32
2026-07-21,4739.23
2026-07-22,4717.24
2026-07-23,4728.0
2026-07-24,4649.19
2026-07-27,4702.43
2026-07-28,4569.52
2026-07-29,4600.26
2026-07-30,4549.72
2026-07-31,4588.2
2026-08-03,4543.18
2026-08-04,4600.93
2026-08-05,4658.15
2026-08-06,4651.31
2026-08-07,4694.44
2026-08-10,4702.02
2026-08-11,4663.79
2026-08-12,4690.92
2026-08-13,4663.95
2026-08-14,4665.88
2026-08-17,4741.1
2026-08-18,4725.81
2026-08-19,4588.7
2026-08-20,4592.75
2026-08-21,4618.9
2026-08-24,4563.13
2026-08-25,4552.03
2026-08-26,4590.79
2026-08-27,4630.28
2026-08-28,4609.18
2026-08-31,4625.09
2026-09-01,4611.44
2026-09-02,4547.96
2026-09-03,4552.58
2026-09-04,4548.05
2026-09-07,4575.02
2026-09-08,4558.74
2026-09-09,4572.6
2026-09-10,4548.39
2026-09-11,4510.16
