score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,close,date,fwd_5d,fwd_10d,fwd_20d
4,11,0,0,4,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,51.745032341403686,54.41396415705939,49.97152602292824,0,69.0,2026-01-09,-0.03869565217391302,-0.07391304347826089,-0.030434782608695587
0,11,0,1,2,0,[],2.5,阶段2.5-得分触底未共振,38.017528790464716,46.10978095338319,6.5609228816935135,0,66.33,2026-01-16,-0.03663500678426046,0.006331976481230184,-0.015679179858284265
-2,11,0,1,0,0,[],2.5,阶段2.5-得分触底未共振,28.091546308016348,38.55406822259077,-21.762719856966495,0,63.9,2026-01-23,0.04460093896713624,0.04694835680751175,-0.024256651017214304
-1,11,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,22.25593301260046,50.70585754038639,-16.707295318628653,0,66.75,2026-01-30,0.0022471910112360494,-0.021872659176029874,-0.08014981273408239
-1,11,0,1,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.01968387572553,51.038238174847876,-0.7629762842682598,0,66.9,2026-02-06,-0.024065769805680093,-0.0680119581464873,-0.09596412556053824
-1,11,0,1,1,2,"['trend_break', 'volume_divergence']",2.5,阶段2.5-得分触底未共振,18.063814258711822,43.917455083371216,3.478827383176055,0,65.29,2026-02-13,-0.04502986674835352,-0.05958033389493045,-0.1197733190381376
-4,11,0,2,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.214148199288985,37.51634850185508,-30.041308388025993,0,63.09,2026-02-27,-0.006657156443176437,-0.029957203994293913,-0.09732128705024568
0,11,1,1,0,0,[],2.5,阶段2.5-得分触底未共振,22.279074310852337,39.20552812297277,-46.85355236651963,0,62.67,2026-03-06,-0.023456199138343736,-0.046752832296154456,-0.08648476144885908
-2,11,0,1,0,0,[],2.5,阶段2.5-得分触底未共振,23.441792794353216,36.4835813041005,-46.664309641625835,0,61.2,2026-03-13,-0.023856209150326824,-0.06944444444444442,-0.056372549019607865
-4,11,0,2,0,0,[],2.5,阶段2.5-得分触底未共振,23.339991210844353,34.457048527930354,-49.324387152198426,0,59.74,2026-03-20,-0.04670237696685631,-0.04168061600267825,-0.02008704385671245
0,11,1,1,0,0,[],2.5,阶段2.5-得分触底未共振,28.452208580672202,31.265007346752768,-66.70688015786058,0,56.95,2026-03-27,0.005267778753292207,0.014047410008779515,0.010535557506584636
2,11,1,0,0,0,[],2.5,阶段2.5-得分触底未共振,28.869736660093,37.006878412665955,-56.60791425273375,0,57.25,2026-04-03,0.008733624454148492,0.02253275109170305,0.04873362445414853
4,11,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,24.472038513809586,46.38421873699493,-28.9737024802475,0,58.82,2026-04-10,-0.015300918055083268,-0.017681060863651843,-0.013260795647738854
3,11,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.175252245610153,43.615084692235435,-16.22508080737997,0,57.92,2026-04-17,-0.0024171270718231774,0.024861878453038555,-0.06578038674033149
3,11,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,13.864462252179239,43.35920270847619,-25.590610231195786,0,57.78,2026-04-24,0.027345102111457242,0.004499826929733386,-0.07805469020422284
6,11,2,0,2,1,['trend_break'],2.0,动能衰减期,15.859487955782187,57.63041724751098,21.067313249357788,0,60.06,2026-05-08,-0.0759240759240759,-0.1062271062271063,-0.10955710955710962
