score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,close,date,fwd_5d,fwd_10d,fwd_20d
7,11,1,0,5,0,[],2.0,动能衰减期,23.77605055933743,71.1002101192187,45.520510749420716,0,246.55,2026-01-09,-0.009004258771040385,0.11944838775096334,-0.015696613263029846
6,11,1,0,4,1,['volume_divergence'],2.0,动能衰减期,29.92828261553795,61.171609007571384,57.82307588945739,0,244.33,2026-01-16,0.12961977653173973,0.08230671632628006,0.06028731633446571
7,11,1,0,5,0,[],2.0,动能衰减期,37.9208692770393,67.34706489767368,72.48179973648485,0,276.0,2026-01-23,-0.041884057971014466,-0.12072463768115937,-0.06177536231884062
2,11,0,1,4,0,[],2.5,阶段2.5-得分触底未共振,36.469124160346354,58.70838437816864,46.96231853743159,0,264.44,2026-01-30,-0.08228709726213879,-0.020344879745878064,-0.09835879594615027
-1,11,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,26.915680002248443,46.1565603988731,-1.8772332180006717,0,242.68,2026-02-06,0.06749629141255964,0.06704301961430681,-0.036385363441569174
5,11,1,0,3,0,[],2.0,动能衰减期,25.963830952098487,54.775449485898974,9.99209416531525,0,259.06,2026-02-13,-0.00042461205898247645,-0.07963406160734965,-0.20080290280243962
0,11,0,1,2,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,23.72640852211482,55.72822935350902,0.5811586125111595,0,261.1,2026-02-27,-0.07353504404442746,-0.09712753734201462,-0.15377250095748762
0,11,0,0,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.749997711159182,45.52521273615188,-24.626029907694598,0,241.9,2026-03-06,-0.02546506821000416,-0.10533278214138075,-0.11628772219925587
0,11,0,0,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,14.367400420130789,42.73567878857664,-27.06423228469308,0,235.74,2026-03-13,-0.08195469585136173,-0.06273861033341821,0.040341053703232266
-2,11,0,1,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,16.033951135091595,34.25823630585204,-52.91551644679839,0,216.42,2026-03-20,0.02093152204047688,-0.012244709361426742,0.2095924591072913
-1,11,0,1,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,19.36516148225876,41.56492703616615,-53.88090228111384,0,220.95,2026-03-27,-0.0324960398280153,0.10997963340122197,0.3408916044353927
-2,11,0,1,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,20.601958138007536,40.595951007528534,-47.314009886149066,0,213.77,2026-04-03,0.1472610749871357,0.22458717312999932,0.5979791364550686
