strong_healthy,score_v22,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,close,date,fwd_5d,fwd_10d,fwd_20d
3,10,2,0,4,0,[],2,动能衰减期,23.77605055933743,71.1002101192187,45.520510749420716,246.55,2026-01-09,-0.009004258771040385,0.11944838775096334,-0.015696613263029846
4,8,1,0,5,0,[],2,动能衰减期,29.92828261553795,61.171609007571384,57.82307588945739,244.33,2026-01-16,0.12961977653173973,0.08230671632628006,0.06028731633446571
4,11,2,0,5,0,[],2,动能衰减期,37.9208692770393,67.34706489767368,72.48179973648485,276.0,2026-01-23,-0.041884057971014466,-0.12072463768115937,-0.06177536231884062
4,-1,0,2,5,0,[],3,动能结束期,36.469124160346354,58.70838437816864,46.96231853743159,264.44,2026-01-30,-0.08228709726213879,-0.020344879745878064,-0.09835879594615027
3,-4,0,2,2,0,[],3,动能结束期,26.915680002248443,46.1565603988731,-1.8772332180006717,242.68,2026-02-06,0.06749629141255964,0.06704301961430681,-0.036385363441569174
3,9,2,0,3,0,[],2,动能衰减期,25.963830952098487,54.775449485898974,9.99209416531525,259.06,2026-02-13,-0.00042461205898247645,-0.07963406160734965,-0.20080290280243962
2,-1,0,1,2,1,['volatility_drop'],3,动能结束期,23.72640852211482,55.72822935350902,0.5811586125111595,261.1,2026-02-27,-0.07353504404442746,-0.09712753734201462,-0.15377250095748762
0,-3,0,1,0,1,['trend_break'],3,动能结束期,18.749997711159182,45.52521273615188,-24.626029907694598,241.9,2026-03-06,-0.02546506821000416,-0.10533278214138075,-0.11628772219925587
0,-3,0,1,0,2,"['trend_break', 'structure_break']",3,动能结束期,14.367400420130789,42.73567878857664,-27.06423228469308,235.74,2026-03-13,-0.08195469585136173,-0.06273861033341821,0.040341053703232266
0,-6,0,2,0,3,"['trend_break', 'structure_break', 'volatility_drop']",3,动能结束期,16.033951135091595,34.25823630585204,-52.91551644679839,216.42,2026-03-20,0.02093152204047688,-0.012244709361426742,0.2095924591072913
0,0,1,1,0,3,"['trend_break', 'structure_break', 'volatility_drop']",3,动能结束期,19.36516148225876,41.56492703616615,-53.88090228111384,220.95,2026-03-27,-0.0324960398280153,0.10997963340122197,0.3408916044353927
1,-6,0,2,0,2,"['structure_break', 'volatility_drop']",3,动能结束期,20.601958138007536,40.595951007528534,-47.314009886149066,213.77,2026-04-03,0.1472610749871357,0.22458717312999932,0.5979791364550686
0,4,1,0,1,2,"['trend_break', 'structure_break']",3,动能结束期,16.956857404623474,53.44172013840318,-8.35584398324126,231.82,2026-04-10,0.12155983090328704,0.22940212233629542,0.5019842981623674
3,10,2,0,4,0,[],2,动能衰减期,23.482208081101085,67.91040319497336,34.63819176453854,260.0,2026-04-17,0.09615384615384626,0.3246538461538462,0.21823076923076923
4,11,2,0,5,0,[],2,动能衰减期,29.381170388697047,73.79933151087286,48.152289307069395,285.0,2026-04-24,0.20845614035087734,0.22171929824561398,0.11154385964912295
4,14,3,0,5,0,[],1,强动能期,36.63837823951875,68.29400507739791,68.37206124412052,323.28,2026-05-08,-0.06270106409304621,-0.03365503588220742,-0.15225191784211822
4,5,1,1,5,0,[],3,动能结束期,37.39065220244586,53.882963152680496,56.658751064630884,303.01,2026-05-15,0.030989076268109983,-0.030065014355961872,-0.07593808785188605
4,5,1,1,5,0,[],3,动能结束期,32.37235982472389,55.862125252488994,27.685435471355742,312.4,2026-05-22,-0.05921895006402045,-0.12272727272727268,0.04769526248399503
3,-3,0,2,3,0,[],3,动能结束期,31.43132426400203,46.87566945369502,17.01971468702313,293.9,2026-05-29,-0.0675059544062605,-0.04729499829874095,0.20734943858455268
3,-8,0,3,1,0,[],3,动能结束期,23.11702303550651,41.81840034494992,-22.535331057634014,274.06,2026-06-05,0.021674085966576717,0.19426402977450197,0.2369554112238197
1,0,1,1,0,0,[],3,动能结束期,20.225209674896384,46.16555142114624,-22.35349020717684,280.0,2026-06-12,0.16892857142857154,0.2672857142857141,0.2321428571428572
2,9,2,0,3,0,[],2,动能衰减期,28.16830330423809,61.17599601470877,40.578101788692635,344.9,2026-06-26,-0.056538126993331383,0.02348506813569151,-0.08877935633516965
3,4,1,1,4,0,[],3,动能结束期,31.331009589313958,51.78600489906787,36.522514758153164,325.4,2026-07-03,0.08481868469575904,-0.06306084818684687,-0.14874001229256295
4,11,2,0,5,0,[],2,动能衰减期,31.18280525980932,57.703955777642015,43.6542055452617,353.0,2026-07-10,-0.13631728045325775,-0.10968838526912184,-0.1621813031161473
3,3,1,1,3,0,[],3,动能结束期,25.301419673130095,42.444584567070706,3.6138051356158267,304.88,2026-07-17,0.030831802676462905,-0.09144581474678559,
2,7,2,0,1,0,[],2,动能衰减期,19.57758949637405,46.25440951102312,-13.394724957744495,314.28,2026-07-24,-0.11862033855160992,-0.05896016291205286,
1,-5,0,2,1,1,['trend_break'],3,动能结束期,18.436207565842484,37.28351539910108,-42.23731448927397,277.0,2026-07-31,0.06768953068592065,,
0,0,1,1,0,2,"['trend_break', 'structure_break']",3,动能结束期,18.552476518192353,46.74004252947997,-38.12145549343995,295.75,2026-08-07,,,
