score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,turnover_signal,sector_relative_signal,close,date,fwd_5d,fwd_10d,fwd_20d
4,14,1,0,2,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,18.480266869472405,54.80687331976828,-18.504274972477184,0,0,0,79.77,2026-01-09,-0.030838661150808466,-0.03748276294346242,-0.0028832894571892975
-1,14,0,1,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.33074308739115,42.250458400496505,-47.11707344419367,0,0,0,77.31,2026-01-16,-0.006855516750743806,0.0036217824343551808,0.022506790842064417
0,14,0,0,0,2,"['trend_break', 'volume_divergence']",2.5,阶段2.5-得分触底未共振,15.20623906509362,41.32079888603472,-38.33216173524831,0,0,0,76.78,2026-01-23,0.010549622297473249,0.035946861161761046,0.008726230789268152
-1,14,0,1,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,15.20201458177736,48.8898854265698,-41.45848970918599,0,0,0,77.59,2026-01-30,0.025132104652661358,0.01881685784250542,-0.028096404175795953
2,14,0,0,2,1,['trend_break'],2.5,阶段2.5-得分触底未共振,15.909777215907798,56.70582752621419,8.7268441201009,0,0,0,79.54,2026-02-06,-0.006160422428966639,-0.026276087503143142,-0.03645964294694504
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,16.036488137917885,52.25353354144044,20.988255864886817,0,0,0,79.05,2026-02-13,-0.02024035420619852,-0.04604680581910181,-0.07185325743200499
-1,14,0,1,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,14.446536238626305,49.00385424326254,18.409519090584258,0,0,0,78.64,2026-02-27,-0.026958290946083485,-0.022634791454730463,-0.04908443540183116
-2,14,0,1,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,17.31280854670991,39.71512818057508,-28.664980091960977,0,0,0,76.52,2026-03-06,0.004443282801881887,-0.018295870360689914,-0.0022216414009409435
-1,14,0,1,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,16.9859150543658,44.84133776814403,-25.068923820285853,0,0,0,76.86,2026-03-13,-0.022638563622170094,-0.02706219099661722,-0.014051522248243575
-2,14,0,1,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,17.751644622263985,36.54397310028217,-34.412407961079516,0,0,0,75.12,2026-03-20,-0.004526091586794512,0.01637380191693283,0.0593716719914803
-1,14,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,23.06590591740665,40.89302696711934,-53.987121339155884,0,0,0,74.78,2026-03-27,0.020994918427386988,0.013372559507889736,0.06311848087723981
0,14,0,1,2,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.117105849188942,50.516172988768545,-17.22214733462034,0,0,0,76.35,2026-04-03,-0.00746561886051067,0.042305173542894536,0.04531761624099562
-1,14,0,1,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,16.081417652483605,50.63361892129723,-2.6353813914165745,0,0,0,76.41,2026-04-10,0.029315534615887984,0.04253369977751609,0.05195655018976564
2,14,0,1,4,0,[],2.5,阶段2.5-得分触底未共振,14.279628359022828,60.15782113042924,24.521915621821794,0,0,1,78.65,2026-04-17,0.01284170375079463,0.02275905912269538,0.03623649078194524
5,14,1,0,3,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,16.58969995200427,62.61185782851127,46.28357700490521,0,0,1,79.66,2026-04-24,0.009791614361034373,0.009038413256339473,0.004644740145618886
5,14,1,0,3,2,"['volume_divergence', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,17.926793700830586,60.46077537489514,46.85946374698923,0,0,1,80.4,2026-05-08,0.02699004975124364,-0.0014925373134329067,0.016044776119402915
7,14,1,0,5,1,['volatility_drop'],2.0,动能衰减期,20.956061645571644,68.48323610717398,52.41461487252552,0,0,1,82.57,2026-05-15,-0.02773404384158884,-0.020830810221630136,0.007993217875742031
6,14,1,0,4,0,[],2.0,动能衰减期,20.091989474419265,51.254464385215414,45.819242422547234,0,0,1,80.28,2026-05-22,0.007100149476831019,0.017563527653213784,-0.02491280518186345
