score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,turnover_signal,sector_relative_signal,close,date,fwd_5d,fwd_10d,fwd_20d
2,14,1,0,0,0,[],2.5,阶段2.5-得分触底未共振,31.486545573973316,33.546643028308736,-56.52270955916396,0,0,-1,107.14,2026-01-09,-0.01848049281314168,-0.03873436624976667,-0.0013067015120403758
-4,14,0,2,0,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,30.026162641622307,30.77979204916592,-53.41510213443152,0,0,-1,105.16,2026-01-16,-0.02063522251806771,-0.001521491061239999,0.008558387219475216
0,14,1,1,0,0,[],2.5,阶段2.5-得分触底未共振,34.89280125888374,27.60182469016624,-68.41264567443295,0,0,0,102.99,2026-01-23,0.019516457908534957,0.03893581901155452,0.0022332265268472096
1,14,1,1,1,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,37.0358548389383,46.53206543244948,-45.50239392168307,0,0,0,105.0,2026-01-30,0.01904761904761898,0.010095238095238157,-0.03314285714285714
3,14,1,0,1,0,[],2.5,阶段2.5-得分触底未共振,33.21017693545044,50.07831975640899,-4.999488301910567,0,0,0,107.0,2026-02-06,-0.008785046728971957,-0.0353271028037383,-0.02299065420560742
3,14,1,0,1,0,[],2.5,阶段2.5-得分触底未共振,26.100705795877168,48.262414451932656,-15.368628863263583,0,0,0,106.06,2026-02-13,-0.02677729587026212,-0.04280595889119376,-0.05496888553648871
3,14,1,0,1,0,[],2.5,阶段2.5-得分触底未共振,23.271058793815467,43.20466563364506,-26.329370335948806,0,0,0,104.05,2026-02-27,-0.015857760691974976,-0.01057184046131665,-0.013455069678039333
2,14,1,0,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.317342536104302,41.217559222917735,-49.26092886740034,0,0,0,102.4,2026-03-06,0.00537109375,0.0,0.010644531249999867
2,14,1,0,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,15.687561532226598,45.19056649570623,-40.8751179485042,0,0,0,102.95,2026-03-13,-0.005342399222923677,-0.0029140359397765714,-0.005148130160271935
2,14,1,0,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,14.62840954530665,43.39858381859813,-17.564333464646793,0,0,0,102.4,2026-03-20,0.00244140625,0.010644531249999867,-0.010253906250000111
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,13.036551009581373,47.93657042543059,-31.98312017391399,0,0,0,102.65,2026-03-27,0.00818314661470998,-0.002240623477837378,-0.023867510959571403
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,12.878559931432974,50.23808341095608,8.97382832684779,0,0,0,103.49,2026-04-03,-0.010339163204174273,-0.020678326408348657,-0.1052275582181853
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,11.072810395411711,45.03315830050355,-1.343341639420536,0,0,0,102.07,2026-04-10,-0.002057411580287938,-0.007837758401097239,-0.12657979817772103
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,10.900306073508753,44.19237103849878,-10.930190839551786,0,0,0,101.86,2026-04-17,-0.005792263891616023,-0.09424700569408984,-0.16090712742980562
2,14,1,0,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,13.219222837074774,43.1523011061726,-34.17340866025204,0,0,0,101.27,2026-04-24,-0.08897007998420059,-0.119680063197393,-0.17162042065764782
0,14,1,1,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,26.839195237661297,20.58971315454812,-74.71394418928315,0,0,-1,92.13,2026-05-08,-0.057093237816129294,-0.08791924454575051,-0.11993921632475846
-2,14,0,1,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,41.059415933584525,13.810795662374105,-76.05002504980504,0,0,-1,86.87,2026-05-15,-0.03269252906642117,-0.022792678715321757,-0.08000460458155867
-2,14,0,1,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,49.64768306315654,12.058620600996392,-70.97381450201196,0,0,-1,84.03,2026-05-22,0.010234440080923557,-0.035106509579912015,-0.08901582768059035
0,14,1,1,0,0,[],2.5,阶段2.5-得分触底未共振,49.220616311525475,32.07646966885741,-64.48491892543227,0,0,-1,84.89,2026-05-29,-0.04488161149723169,-0.058546354105312726,-0.1282836612086229
-2,14,0,1,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,42.724522602339995,24.808757720180864,-57.27366035274216,0,0,0,81.08,2026-06-05,-0.014306857424765673,-0.05587074494326594,-0.0902812037493832
0,14,1,1,0,0,[],2.5,阶段2.5-得分触底未共振,42.69431045717502,26.455851793953613,-59.31258405068733,0,0,0,79.92,2026-06-12,-0.042167167167167174,-0.07407407407407407,-0.08883883883883892
-4,14,0,2,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,46.04050422059391,24.225125944250806,-66.62061130171854,0,0,0,73.17,2026-06-26,0.0005466721333879931,0.007106737734043911,0.005466721333879931
-4,14,0,2,0,0,[],2.5,阶段2.5-得分触底未共振,48.641347089645166,28.16643026086838,-59.14899303791987,0,0,0,73.21,2026-07-03,0.006556481355006305,-0.006146701270318133,0.06542822018849903
-3,14,0,2,1,0,[],2.5,阶段2.5-得分触底未共振,49.058292142374825,39.416577676607204,-59.417994563509964,0,0,0,73.69,2026-07-10,-0.012620436965666837,-0.0016284434794409108,0.019269914506717445
