strong_healthy,score_v22,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,close,date,fwd_5d,fwd_10d,fwd_20d
3,3,0,1,4,1,['volatility_drop'],3,动能结束期,31.26889972357265,49.400676465350436,17.83454103918299,583.2,2026-01-09,0.05795610425240039,0.0030864197530864335,-0.07405692729766811
3,6,2,0,4,1,['volatility_drop'],2,动能衰减期,26.809632543488817,56.413154077684496,14.413738038271076,617.0,2026-01-16,-0.05186385737439225,0.05186385737439214,-0.13938411669367912
3,2,1,1,2,1,['volatility_drop'],3,动能结束期,22.36214428082123,48.33327477033694,1.458835356961379,585.0,2026-01-23,0.10940170940170946,-0.07690598290598294,-0.02464957264957257
2,5,2,0,3,1,['volatility_drop'],2,动能衰减期,22.374053602743004,60.052195544910106,23.426356143299724,649.0,2026-01-30,-0.16793528505392918,-0.18181818181818177,-0.18953775038520804
1,-1,1,2,0,1,['structure_break'],3,动能结束期,20.117130774658232,39.87774328260167,-16.838712151871444,540.01,2026-02-06,-0.016684876205996124,0.05661006277661529,0.04016592285328069
1,0,1,1,0,1,['structure_break'],3,动能结束期,21.235866753985466,40.13733053983583,-36.839188972149685,531.0,2026-02-13,0.07453860640301335,-0.009435028248587551,0.1292278719397364
0,1,1,0,0,2,"['trend_break', 'structure_break']",3,动能结束期,19.822774977611587,42.24906265197352,-27.788273175129387,534.0,2026-02-27,0.021498127340823903,0.01501872659176029,0.11985018726591767
0,2,2,0,0,1,['trend_break'],3,动能结束期,16.110316746452877,45.82089425997921,-16.027680153741205,545.48,2026-03-06,-0.006343037324924916,0.12194764244335254,0.11190144459925189
0,2,1,0,1,3,"['trend_break', 'structure_break', 'volatility_drop']",3,动能结束期,14.627087862036648,46.45037099486448,-24.739550647368294,542.02,2026-03-13,0.129109626951035,0.10328032175934476,0.3615733736762481
2,5,2,0,3,0,[],2,动能衰减期,12.611198370078272,59.686965520594576,21.339303217940238,612.0,2026-03-20,-0.022875816993464082,-0.008954248366013107,0.38888888888888884
2,3,1,1,3,0,[],3,动能结束期,13.470951152861387,54.415782333617145,38.89720722431889,598.0,2026-03-27,0.014247491638796017,0.234113712374582,0.4331605351170569
2,4,1,0,3,1,['volatility_drop'],2,动能衰减期,11.164530111755765,55.0633124264071,25.14333734032432,606.52,2026-04-03,0.2167776825166523,0.40143771021565655,0.44672887950933204
3,7,3,0,4,0,[],1,强动能期,17.054978303912357,71.68668564508143,59.84354853866125,734.65,2026-04-10,0.15837473626897158,0.2073640509085959,0.4281630708500648
4,8,3,0,5,0,[],1,强动能期,29.01893392859106,80.97422304918973,74.77308549843292,851.0,2026-04-17,0.042291421856639255,0.005875440658049458,0.21856639247943588
4,8,3,0,5,1,['volatility_drop'],1,强动能期,39.98170568986619,80.59306172437275,72.5861517589563,886.99,2026-04-24,-0.034938387129505366,0.18287692082210616,0.25296790268210456
4,7,2,0,5,1,['volatility_drop'],1,强动能期,41.86401672715104,71.30401072277786,51.659716324222934,886.0,2026-05-08,0.18495485327313754,0.1715349887133184,0.33181715575620774
4,8,3,0,5,1,['volatility_drop'],1,强动能期,49.7092276025482,78.1342100504667,74.80225615900189,1049.87,2026-05-15,-0.011325211692876147,0.10600360044576962,0.09442121405507353
4,6,1,0,5,1,['volatility_drop'],2,动能衰减期,50.127524985517084,68.95095733643109,61.34914218706527,1037.98,2026-05-22,0.11867280679781889,0.13681381144145366,0.3317501300603094
4,8,3,0,5,1,['volatility_drop'],1,强动能期,52.838776568788084,72.99978149595785,69.98591689611906,1161.16,2026-05-29,0.016216542078610896,-0.010472286334355374,0.05067346446656784
4,7,2,0,5,0,[],1,强动能期,52.337385659000155,62.62240285974927,71.36359047016333,1179.99,2026-06-05,-0.026262934431647733,0.17147602945787677,-0.06870397206755985
3,4,1,1,4,0,[],2,动能衰减期,43.8356066229192,57.266820662498716,37.46814091501396,1149.0,2026-06-12,0.20307223672758923,0.061792863359442896,-0.035683202785030455
3,3,0,1,4,0,[],3,动能结束期,39.25053207041126,56.35015267551778,52.887669505519376,1253.89,2026-06-26,-0.1099697740631157,-0.12753112314477355,-0.16538930847203515
3,1,0,2,3,0,[],3,动能结束期,29.374479519596385,43.067426110153306,7.904417754450639,1116.0,2026-07-03,-0.019731182795698854,-0.12234767025089599,-0.191747311827957
2,1,0,0,1,0,[],3,动能结束期,23.120762902309327,43.04921254678636,-15.07827842650828,1093.98,2026-07-10,-0.1046819868736174,-0.043392018135614885,-0.1591528181502404
0,-2,0,2,0,1,['trend_break'],3,动能结束期,19.823389113586387,36.476894216109635,-31.437915606243834,979.46,2026-07-17,0.06845608804851655,-0.07907418373389419,
0,0,1,1,0,2,"['trend_break', 'structure_break']",3,动能结束期,19.389713109351117,44.01624547815303,-36.293459255541734,1046.51,2026-07-24,-0.13807799256576625,-0.12101174379604585,
1,0,1,1,0,1,['structure_break'],3,动能结束期,25.07804605047123,38.938060437111005,-59.97964332083633,902.01,2026-07-31,0.019800223944302253,,
1,1,1,0,0,1,['structure_break'],3,动能结束期,24.68988238693579,42.15334967508311,-48.931372925255836,919.87,2026-08-07,,,
