code,name,nav_final,bh_final,excess,dd,bh_dd,jul_strat,jul_bh,trim_acc,trim_n,ann_ret_strat,ann_ret_bh
600030,中信证券,0.9652533070493043,0.9529491987725882,0.012911609866049556,-0.16932930831202242,-0.20768466379595885,-0.032274223283843995,-0.04071937563624062,0.5971223021582733,139,-0.06001208110498246,-0.08088032857836669
601788,光大证券,0.8688736120317291,0.8257448004496912,0.052230194557144616,-0.20402507113289758,-0.2563117453347965,-0.013299979435765108,-0.017218543046357615,0.6546762589928058,139,-0.21805885916181245,-0.2847131622881067
601696,中银证券,0.8765900362384155,0.7791530944625414,0.12505493781435328,-0.2265680171110166,-0.3305679642629227,-0.07688545071434405,-0.09650455927051649,0.6402877697841727,139,-0.20586574927443346,-0.353840253162636
601688,华泰证券,0.8333729879352164,0.7963039014373714,0.04655143147099161,-0.2528690848602002,-0.311815336463224,-0.07559749289455897,-0.09426987060998149,0.5971223021582733,139,-0.27310951448825294,-0.3287443160460741
601995,中金公司,0.9905638334030274,0.9842386715451731,0.006426451267073752,-0.10334893699183256,-0.12853611645152396,-0.047160477725800454,-0.06025059984004255,0.5683453237410072,139,-0.016454812145975772,-0.027419084328921373
601990,南京证券,0.8710987792606785,0.8450000000000001,0.030886129302577947,-0.18857437910423813,-0.2256097560975613,0.017929302342897024,0.022123893805309214,0.60431654676259,139,-0.21455105811838904,-0.25526932821237835
601901,方正证券,0.9240678991829754,0.8958068614993653,0.03154813710212934,-0.17105780580111174,-0.21882640586797075,-0.038440861976653196,-0.04812834224598905,0.5755395683453237,139,-0.129072915764202,-0.17514963083729418
600643,爱建集团,0.7979416264818989,0.7267759562841534,0.09791968155028141,-0.2744326560847953,-0.3536585365853655,0.04712418933010931,0.05837563451776595,0.5899280575539568,139,-0.3263265017920922,-0.42792764055930854
600050,中国联通,0.8666315778732774,0.8391472868217057,0.03275264245406695,-0.2263399705754171,-0.27140255009107495,0.08371528058667899,0.10539215686274539,0.5107913669064749,139,-0.22158644176244258,-0.2642727517750725
601633,长城汽车,0.7569104338294642,0.7035874439461883,0.07578729601000966,-0.2758569498428829,-0.3336294980008886,0.08636601247694142,0.10823373173970752,0.6618705035971223,139,-0.3857744740507977,-0.4594863811791503
601919,中远海控,1.0420289066218098,1.0496644295302002,-0.007274251364131512,-0.1826769464136102,-0.22451384796700113,0.15232683700870364,0.19452887537993924,0.5467625899280576,139,0.07470579789384102,0.08852483125146104
002601,龙佰集团,0.8780221715511574,0.8409552845528456,0.044077120007660175,-0.3363990169672426,-0.4034261241970023,-0.02836714158522957,-0.03641618497109811,0.5683453237410072,139,-0.2035938689187572,-0.26149645898821994
300003,乐普医疗,0.7751805589025981,0.6910911966262523,0.12167621681024254,-0.3515282197490801,-0.445095168374817,0.029518693509560157,0.03525641025641102,0.5899280575539568,139,-0.35959453917500506,-0.4761742042530843
300725,药石科技,1.2046168345335737,1.2569130216189028,-0.04160684644508794,-0.2811934318476912,-0.34141201264488974,-0.03788748294348976,-0.04435058078141452,0.5323741007194245,139,0.38511433598302824,0.49205263752845396
600570,恒生电子,0.8208219264656972,0.7504879635653884,0.0937176428069133,-0.3412606225347933,-0.42897808141189797,0.04748960004535263,0.05844748858447524,0.5899280575539568,139,-0.2921590871745372,-0.394866034792558
301362,民爆光电,2.500779179705589,3.169366364935682,-0.21095295028905903,-0.5467336583638331,-0.6113830392714856,-0.3551900465774923,-0.3834801638516355,0.4496124031007752,129,4.605563871926213,7.752402549189187
688031,星环科技,1.1512192847660956,1.074475159114658,0.07142475561247319,-0.5830687206142755,-0.6849803921568629,-0.16568823733021965,-0.20684687738327245,0.5683453237410072,139,0.27945966179309867,0.13394936994054873
688167,炬光科技,1.1707670350709227,1.121317636655059,0.04409936738654485,-0.5968761170807485,-0.69456164118444,-0.38695105772702065,-0.466274250705748,0.5179856115107914,139,0.31772064407020206,0.22187039630704564
603629,利通电子,3.586748232045888,4.550090415913196,-0.2117193496854869,-0.539312304549209,-0.637436131765879,-0.42734887196443416,-0.5186142709410546,0.31654676258992803,139,8.34816916031956,13.175390995507463
603256,宏和科技,3.2452353970876153,4.151251646903823,-0.2182513436620862,-0.5256074433833575,-0.6117171717171717,-0.46623399316536573,-0.5494784545063875,0.3597122302158273,139,6.8465881422234665,11.072948737045484
601869,长飞光纤,2.4748455055597494,2.97847035332928,-0.16908842057352957,-0.46519963504920747,-0.5477586206896552,-0.4063560664253456,-0.48417926884427065,0.4172661870503597,139,3.8832522918587458,5.7528677251975315
300277,汽轮科技,1.001721334836775,0.9692070823710552,0.03354727081252573,-0.47335361649629226,-0.5580937376920048,-0.1496164382836146,-0.2238709677419355,0.5467625899280576,139,0.0030142801501467087,-0.0532637347772581
603163,圣晖集成,1.0656582039521978,1.1007156109196916,-0.03184965000923534,-0.47510740673398777,-0.5507576773501409,-0.4529502406452467,-0.5347222222222223,0.45323741007194246,139,0.11771577961294999,0.18285489197016846
600487,亨通光电,2.082118439065674,2.404032258064518,-0.1339057818042826,-0.5312904192754622,-0.616260162601626,-0.4544284742989274,-0.5352693024624743,0.3381294964028777,139,2.608980229497311,3.6413627135636384
