observation_date,WPU10210501
2010-11-01,346.400
2010-12-01,350.400
2011-01-01,348.500
2011-02-01,350.500
2011-03-01,361.800
2011-04-01,377.500
2011-05-01,389.300
2011-06-01,393.200
2011-07-01,405.900
2011-08-01,441.400
2011-09-01,473.900
2011-10-01,431.900
2011-11-01,454.500
2011-12-01,424.300
2012-01-01,420.800
2012-02-01,440.600
2012-03-01,435.100
2012-04-01,424.300
2012-05-01,402.200
2012-06-01,411.200
2012-07-01,404.800
2012-08-01,409.700
2012-09-01,442.800
2012-10-01,449.000
2012-11-01,440.700
2012-12-01,436.400
2013-01-01,428.900
2013-02-01,421.600
2013-03-01,410.400
2013-04-01,402.200
2013-05-01,364.900
2013-06-01,348.600
2013-07-01,325.800
2013-08-01,337.900
2013-09-01,348.900
2013-10-01,331.900
2013-11-01,331.500
2013-12-01,318.800
2014-01-01,313.000
2014-02-01,323.700
2014-03-01,339.000
2014-04-01,332.900
2014-05-01,327.300
2014-06-01,317.800
2014-07-01,333.800
2014-08-01,329.400
2014-09-01,321.600
2014-10-01,310.300
2014-11-01,300.400
2014-12-01,303.100
2015-01-01,306.300
2015-02-01,315.400
2015-03-01,300.300
2015-04-01,303.200
2015-05-01,301.400
2015-06-01,297.500
2015-07-01,293.900
2015-08-01,277.700
2015-09-01,280.100
2015-10-01,290.900
2015-11-01,280.500
2015-12-01,276.600
