observation_date,WPU102105
1985-06-01,100.000
1985-07-01,100.100
1985-08-01,100.200
1985-09-01,99.100
1985-10-01,99.300
1985-11-01,99.000
1985-12-01,97.600
1986-01-01,96.000
1986-02-01,99.700
1986-03-01,102.700
1986-04-01,100.700
1986-05-01,104.400
1986-06-01,102.700
1986-07-01,100.200
1986-08-01,107.100
1986-09-01,108.700
1986-10-01,113.400
1986-11-01,114.300
1986-12-01,108.100
1987-01-01,115.400
1987-02-01,124.800
1987-03-01,122.800
1987-04-01,127.800
1987-05-01,130.900
1987-06-01,139.500
1987-07-01,138.400
1987-08-01,138.000
1987-09-01,139.600
1987-10-01,139.100
1987-11-01,139.500
1987-12-01,141.800
1988-01-01,143.700
1988-02-01,140.900
1988-03-01,136.500
1988-04-01,135.900
1988-05-01,135.700
1988-06-01,135.800
1988-07-01,132.500
1988-08-01,128.500
1988-09-01,126.400
1988-10-01,122.800
1988-11-01,123.500
1988-12-01,124.300
1989-01-01,122.000
1989-02-01,118.500
1989-03-01,118.400
1989-04-01,118.500
1989-05-01,117.500
1989-06-01,114.800
1989-07-01,114.500
1989-08-01,114.400
1989-09-01,112.300
1989-10-01,111.800
1989-11-01,112.400
1989-12-01,122.000
1990-01-01,122.300
1990-02-01,119.500
1990-03-01,120.800
1990-04-01,116.400
1990-05-01,114.100
1990-06-01,110.700
1990-07-01,108.700
1990-08-01,113.400
1990-09-01,119.200
1990-10-01,119.500
1990-11-01,113.300
1990-12-01,114.100
1991-01-01,118.000
1991-02-01,113.000
1991-03-01,109.900
1991-04-01,109.600
1991-05-01,107.400
1991-06-01,107.900
1991-07-01,110.300
1991-08-01,111.300
1991-09-01,107.400
1991-10-01,106.700
1991-11-01,108.300
1991-12-01,111.600
1992-01-01,108.500
1992-02-01,108.400
1992-03-01,109.000
1992-04-01,105.900
1992-05-01,104.400
1992-06-01,105.900
1992-07-01,106.000
1992-08-01,107.700
1992-09-01,107.200
1992-10-01,107.600
1992-11-01,105.300
1992-12-01,103.700
1993-01-01,102.800
1993-02-01,100.800
1993-03-01,100.800
1993-04-01,102.100
1993-05-01,105.500
1993-06-01,111.400
1993-07-01,114.100
1993-08-01,115.400
1993-09-01,110.400
1993-10-01,108.600
1993-11-01,111.300
1993-12-01,113.700
1994-01-01,114.800
1994-02-01,115.500
1994-03-01,114.700
1994-04-01,114.200
1994-05-01,113.900
1994-06-01,116.000
1994-07-01,119.000
1994-08-01,118.600
1994-09-01,119.000
