observation_date,FGEXPND
1989-10-01,1229.556
1990-01-01,1261.251
1990-04-01,1287.513
1990-07-01,1297.056
1990-10-01,1317.797
1991-01-01,1281.354
1991-04-01,1345.598
1991-07-01,1384.626
1991-10-01,1413.344
1992-01-01,1458.390
1992-04-01,1476.444
1992-07-01,1498.726
1992-10-01,1521.869
1993-01-01,1522.365
1993-04-01,1532.659
1993-07-01,1550.905
1993-10-01,1572.369
1994-01-01,1552.960
1994-04-01,1567.862
1994-07-01,1596.722
1994-10-01,1622.331
1995-01-01,1642.508
1995-04-01,1659.406
1995-07-01,1670.844
1995-10-01,1665.404
1996-01-01,1701.217
1996-04-01,1711.469
1996-07-01,1715.062
1996-10-01,1735.168
1997-01-01,1736.733
1997-04-01,1755.842
1997-07-01,1757.977
1997-10-01,1786.848
1998-01-01,1768.790
1998-04-01,1781.911
1998-07-01,1788.538
1998-10-01,1814.518
1999-01-01,1811.988
1999-04-01,1816.961
1999-07-01,1843.205
1999-10-01,1875.154
2000-01-01,1866.308
2000-04-01,1908.645
2000-07-01,1918.617
2000-10-01,1938.796
2001-01-01,1982.626
2001-04-01,2003.581
2001-07-01,2037.703
2001-10-01,2045.404
2002-01-01,2091.469
2002-04-01,2130.186
2002-07-01,2148.447
2002-10-01,2184.697
2003-01-01,2220.262
2003-04-01,2299.919
2003-07-01,2309.622
2003-10-01,2344.180
2004-01-01,2381.040
2004-04-01,2400.400
2004-07-01,2428.795
2004-10-01,2476.050
2005-01-01,2548.019
2005-04-01,2578.686
2005-07-01,2617.330
2005-10-01,2649.819
2006-01-01,2728.184
2006-04-01,2749.085
2006-07-01,2775.712
2006-10-01,2789.906
2007-01-01,2869.326
2007-04-01,2905.202
2007-07-01,2945.721
2007-10-01,2991.765
2008-01-01,3043.522
2008-04-01,3397.452
2008-07-01,3194.110
2008-10-01,3192.866
2009-01-01,3322.767
2009-04-01,3524.671
2009-07-01,3532.903
2009-10-01,3560.619
2010-01-01,3710.548
2010-04-01,3745.711
2010-07-01,3792.438
2010-10-01,3809.804
2011-01-01,3811.263
2011-04-01,3849.377
2011-07-01,3783.833
2011-10-01,3786.528
2012-01-01,3774.344
2012-04-01,3772.867
2012-07-01,3777.299
2012-10-01,3769.503
2013-01-01,3758.798
2013-04-01,3776.035
2013-07-01,3773.724
2013-10-01,3772.463
2014-01-01,3819.402
2014-04-01,3876.072
2014-07-01,3931.623
2014-10-01,3926.651
2015-01-01,3970.210
2015-04-01,3990.778
2015-07-01,4011.910
2015-10-01,4050.403
