observation_date,WPU01
1946-01-01,32.700
1946-02-01,33.000
1946-03-01,33.600
1946-04-01,34.100
1946-05-01,34.700
1946-06-01,35.400
1946-07-01,39.600
1946-08-01,40.600
1946-09-01,39.000
1946-10-01,41.700
1946-11-01,42.800
1946-12-01,42.400
1947-01-01,41.600
1947-02-01,42.600
1947-03-01,45.500
1947-04-01,44.000
1947-05-01,43.600
1947-06-01,43.800
1947-07-01,44.300
1947-08-01,44.800
1947-09-01,46.600
1947-10-01,47.400
1947-11-01,47.700
1947-12-01,50.100
1948-01-01,51.200
1948-02-01,47.700
1948-03-01,47.600
1948-04-01,48.300
1948-05-01,49.400
1948-06-01,50.400
1948-07-01,50.200
1948-08-01,49.600
1948-09-01,48.800
1948-10-01,46.900
1948-11-01,46.300
1948-12-01,45.200
1949-01-01,43.800
1949-02-01,42.000
1949-03-01,42.700
1949-04-01,42.700
1949-05-01,42.700
1949-06-01,41.800
1949-07-01,41.700
1949-08-01,41.700
1949-09-01,41.800
1949-10-01,41.000
1949-11-01,40.900
1949-12-01,40.300
1950-01-01,40.100
1950-02-01,41.000
1950-03-01,41.700
1950-04-01,41.500
1950-05-01,42.600
1950-06-01,42.700
1950-07-01,45.300
1950-08-01,45.800
1950-09-01,46.500
1950-10-01,45.600
1950-11-01,47.100
1950-12-01,48.800
1951-01-01,50.800
1951-02-01,52.900
1951-03-01,53.100
1951-04-01,53.100
1951-05-01,52.300
1951-06-01,51.500
1951-07-01,50.200
1951-08-01,49.900
1951-09-01,49.700
1951-10-01,50.400
1951-11-01,50.600
1951-12-01,50.300
1952-01-01,49.700
1952-02-01,48.700
1952-03-01,48.900
1952-04-01,49.100
1952-05-01,48.800
1952-06-01,48.400
1952-07-01,49.800
1952-08-01,49.700
1952-09-01,48.200
1952-10-01,47.400
1952-11-01,46.800
1952-12-01,44.800
1953-01-01,45.000
1953-02-01,44.200
1953-03-01,45.100
1953-04-01,43.900
1953-05-01,44.200
1953-06-01,43.100
1953-07-01,44.200
1953-08-01,43.500
1953-09-01,44.300
1953-10-01,43.000
1953-11-01,42.300
1953-12-01,42.700
1954-01-01,44.200
1954-02-01,44.100
1954-03-01,44.400
1954-04-01,44.900
1954-05-01,44.200
1954-06-01,42.800
1954-07-01,43.400
1954-08-01,43.300
1954-09-01,42.300
1954-10-01,42.000
1954-11-01,42.100
1954-12-01,40.600
1955-01-01,41.800
1955-02-01,42.000
1955-03-01,41.600
1955-04-01,42.500
1955-05-01,41.200
1955-06-01,41.500
1955-07-01,40.400
1955-08-01,39.800
1955-09-01,40.400
1955-10-01,39.200
1955-11-01,38.000
1955-12-01,37.500
1956-01-01,38.000
1956-02-01,38.900
1956-03-01,39.100
1956-04-01,39.800
1956-05-01,41.100
1956-06-01,41.200
1956-07-01,40.700
1956-08-01,40.300
1956-09-01,40.700
1956-10-01,39.900
1956-11-01,39.700
1956-12-01,40.100
1957-01-01,40.400
1957-02-01,40.100
1957-03-01,40.100
1957-04-01,40.900
1957-05-01,40.400
1957-06-01,41.100
1957-07-01,41.900
1957-08-01,42.000
1957-09-01,41.100
1957-10-01,41.300
1957-11-01,41.500
1957-12-01,41.800
1958-01-01,42.300
1958-02-01,43.400
1958-03-01,45.400
1958-04-01,44.100
1958-05-01,44.500
1958-06-01,43.200
1958-07-01,42.900
1958-08-01,42.100
1958-09-01,42.000
1958-10-01,41.700
1958-11-01,41.600
1958-12-01,40.900
1959-01-01,41.300
