observation_date,DEXTHUS
1990-11-29,25.1000
1990-11-30,25.2000
1990-12-03,25.1700
1990-12-04,25.2200
1990-12-05,25.1900
1990-12-06,25.2100
1990-12-07,25.2100
1990-12-10,25.0900
1990-12-11,25.1200
1990-12-12,25.1400
1990-12-13,25.1200
1990-12-14,25.1400
1990-12-17,25.1800
1990-12-18,25.1800
1990-12-19,25.1600
1990-12-20,25.1900
1990-12-21,25.2700
1990-12-24,25.2800
1990-12-25,
1990-12-26,25.2800
1990-12-27,25.3800
1990-12-28,25.3100
1990-12-31,25.3100
1991-01-01,
1991-01-02,25.2300
1991-01-03,25.2100
1991-01-04,25.2000
1991-01-07,25.2700
1991-01-08,25.3200
1991-01-09,25.3200
1991-01-10,25.3100
1991-01-11,
1991-01-14,25.3200
1991-01-15,25.3100
1991-01-16,25.3300
1991-01-17,25.3000
1991-01-18,25.2700
1991-01-21,
1991-01-22,25.1800
1991-01-23,25.2000
1991-01-24,25.1700
1991-01-25,25.1900
1991-01-28,25.2000
1991-01-29,25.1700
1991-01-30,25.1900
1991-01-31,25.1800
1991-02-01,25.1600
1991-02-04,25.1600
1991-02-05,25.1200
1991-02-06,25.0900
1991-02-07,25.0500
1991-02-08,25.0600
1991-02-11,25.0400
1991-02-12,25.0300
1991-02-13,25.0700
1991-02-14,
1991-02-15,
1991-02-18,
1991-02-19,25.1400
1991-02-20,25.1800
1991-02-21,25.1900
1991-02-22,25.1700
1991-02-25,25.2200
1991-02-26,25.2400
1991-02-27,25.2500
1991-02-28,25.2300
1991-03-01,25.2700
1991-03-04,25.3300
1991-03-05,25.3400
1991-03-06,25.3800
1991-03-07,25.3500
1991-03-08,25.3600
1991-03-11,25.4500
1991-03-12,25.4600
1991-03-13,25.4200
1991-03-14,25.4000
1991-03-15,25.4300
1991-03-18,25.4800
1991-03-19,25.5300
1991-03-20,25.5500
1991-03-21,25.5200
1991-03-22,25.4900
1991-03-25,25.5200
1991-03-26,25.5800
1991-03-27,
1991-03-28,25.6300
1991-03-29,
1991-04-01,25.6300
1991-04-02,25.5700
1991-04-03,25.5600
1991-04-04,25.5600
1991-04-05,25.5200
1991-04-08,
1991-04-09,25.5550
1991-04-10,25.4800
1991-04-11,25.5300
1991-04-12,
1991-04-15,25.5000
1991-04-16,25.4600
1991-04-17,25.4800
1991-04-18,25.5150
1991-04-19,25.6050
1991-04-22,25.6600
1991-04-23,
1991-04-24,25.6600
1991-04-25,25.6650
1991-04-26,25.6600
1991-04-29,25.7100
1991-04-30,25.6700
1991-05-01,
1991-05-02,25.6300
1991-05-03,25.6400
1991-05-06,
1991-05-07,25.6800
1991-05-08,25.6500
1991-05-09,25.6600
1991-05-10,25.6700
1991-05-13,25.6800
1991-05-14,25.6700
1991-05-15,25.6200
1991-05-16,25.6000
1991-05-17,25.6200
1991-05-20,25.6900
1991-05-21,25.6500
1991-05-22,25.6300
1991-05-23,25.6500
1991-05-24,25.6400
1991-05-27,
1991-05-28,
1991-05-29,25.6200
1991-05-30,25.6200
1991-05-31,25.6400
1991-06-03,25.6900
1991-06-04,25.7100
1991-06-05,25.7100
1991-06-06,25.7200
1991-06-07,25.7300
1991-06-10,25.7800
1991-06-11,25.7900
1991-06-12,25.7900
1991-06-13,25.8300
1991-06-14,25.8200
1991-06-17,25.8200
1991-06-18,25.8000
1991-06-19,25.8200
1991-06-20,25.7900
1991-06-21,25.7800
1991-06-24,25.7800
1991-06-25,25.7400
1991-06-26,25.7500
1991-06-27,25.7300
1991-06-28,25.7300
1991-07-01,25.7700
1991-07-02,25.7700
1991-07-03,
1991-07-04,
1991-07-05,25.7900
1991-07-08,25.7700
1991-07-09,25.7700
1991-07-10,25.7700
1991-07-11,25.7800
1991-07-12,25.8100
1991-07-15,25.7300
1991-07-16,25.7200
1991-07-17,25.7400
1991-07-18,25.7400
1991-07-19,25.7300
1991-07-22,25.6800
1991-07-23,25.7300
1991-07-24,25.7200
1991-07-25,25.7100
1991-07-26,25.7600
1991-07-29,25.7000
1991-07-30,25.7200
1991-07-31,25.7400
1991-08-01,25.7200
1991-08-02,25.7400
1991-08-05,25.7200
1991-08-06,25.6900
1991-08-07,25.6700
1991-08-08,25.6400
1991-08-09,25.6800
1991-08-12,25.7000
1991-08-13,25.6700
1991-08-14,25.7000
1991-08-15,25.7000
1991-08-16,25.7300
1991-08-19,25.7400
1991-08-20,25.8200
1991-08-21,25.7900
1991-08-22,25.7300
1991-08-23,
1991-08-26,
1991-08-27,25.7300
1991-08-28,25.7500
1991-08-29,25.7300
1991-08-30,25.7400
1991-09-02,
1991-09-03,25.7200
1991-09-04,25.7000
1991-09-05,25.6800
1991-09-06,25.7000
1991-09-09,25.6400
1991-09-10,25.6200
1991-09-11,25.6200
1991-09-12,25.6000
1991-09-13,25.6100
1991-09-16,25.6000
1991-09-17,25.5700
1991-09-18,25.5800
1991-09-19,25.6000
1991-09-20,25.6200
1991-09-23,
1991-09-24,25.5500
1991-09-25,25.5700
1991-09-26,25.5700
1991-09-27,
1991-09-30,25.5600
1991-10-01,25.5600
1991-10-02,25.5600
1991-10-03,25.5600
1991-10-04,25.5000
1991-10-07,
1991-10-08,25.5000
1991-10-09,25.5500
1991-10-10,25.4500
1991-10-11,25.5400
1991-10-14,
1991-10-15,25.5200
1991-10-16,
1991-10-17,25.5300
1991-10-18,25.5100
1991-10-21,
1991-10-22,25.5500
1991-10-23,25.5800
1991-10-24,25.5900
1991-10-25,25.5900
1991-10-28,25.6100
1991-10-29,25.6400
1991-10-30,25.6200
1991-10-31,25.5900
1991-11-01,25.5800
1991-11-04,25.5200
1991-11-05,25.5100
1991-11-06,25.5300
1991-11-07,25.5100
1991-11-08,25.5300
1991-11-11,
1991-11-12,25.5200
1991-11-13,25.5100
1991-11-14,25.5000
1991-11-15,25.5000
1991-11-18,25.4600
1991-11-19,
1991-11-20,25.4800
1991-11-21,25.4800
1991-11-22,25.4800
1991-11-25,25.4300
1991-11-26,25.4300
1991-11-27,25.4700
1991-11-28,
1991-11-29,25.5000
1991-12-02,25.4800
1991-12-03,25.4900
1991-12-04,25.4700
1991-12-05,
1991-12-06,25.4200
1991-12-09,25.4200
1991-12-10,25.3700
1991-12-11,25.4200
1991-12-12,25.4200
1991-12-13,25.4200
1991-12-16,25.4300
1991-12-17,25.4000
1991-12-18,
1991-12-19,
1991-12-20,
1991-12-23,
1991-12-24,
1991-12-25,
1991-12-26,
1991-12-27,
1991-12-30,
1991-12-31,
1992-01-01,
1992-01-02,25.2500
1992-01-03,25.2500
1992-01-06,25.2500
1992-01-07,25.2000
1992-01-08,25.2000
1992-01-09,25.2200
1992-01-10,25.2200
1992-01-13,25.3600
1992-01-14,25.3600
1992-01-15,25.3800
1992-01-16,25.4500
1992-01-17,25.4500
1992-01-20,
1992-01-21,25.3400
1992-01-22,25.3400
1992-01-23,25.3200
