symbol,name,avg_pb,med_pb,std_pb,n_months,pb_vol_r,pb_vol_p
300059.SZ,东方财富,6.54,4.59,7.91,196,0.2251,0.010013
000776.SZ,广发证券,1.97,1.48,1.4,198,-0.3733,1.1e-05
600999.SH,招商证券,1.93,1.78,0.76,200,-0.2794,0.001284
600030.SH,中信证券,1.65,1.54,0.47,200,0.0101,0.909128
601688.SH,华泰证券,1.5,1.38,0.75,198,-0.2902,0.000775
601881.SH,中国银河,1.46,1.39,0.31,115,-0.1764,0.13012
600837.SH,海通证券,1.42,1.38,0.61,183,-0.2445,0.007115
601211.SH,国泰君安,1.23,1.15,0.35,134,-0.1343,0.21237
