date,close
2014-03-28,4049.636
2014-03-31,4017.009
2014-04-01,4084.629
2014-04-02,4065.108
2014-04-03,4071.4323
2014-04-04,4118.528
2014-04-08,4146.734
2014-04-09,4194.65
2014-04-10,4207.069
2014-04-11,4192.65
2014-04-14,4227.146
2014-04-15,4207.13
2014-04-16,4212.422
2014-04-17,4216.666
2014-04-18,4234.305
2014-04-21,4170.214
2014-04-22,4129.363
2014-04-23,4117.734
2014-04-24,4082.22
2014-04-25,3997.571
2014-04-28,3863.241
2014-04-29,3908.818
2014-04-30,3951.101
2014-05-05,3997.715
2014-05-06,4027.186
2014-05-07,3958.489
2014-05-08,3960.074
2014-05-09,3919.399
2014-05-12,4000.089
2014-05-13,3996.182
2014-05-14,3998.872
2014-05-15,3926.31
2014-05-16,3917.155
2014-05-19,3905.562
2014-05-20,3927.417
2014-05-21,3960.315
2014-05-22,3965.773
2014-05-23,4005.639
2014-05-26,4057.594
2014-05-27,4045.039
2014-05-28,4094.672
2014-05-29,4046.275
2014-05-30,4055.874
2014-06-03,4053.769
2014-06-04,4027.402
2014-06-05,4077.274
2014-06-06,4071.554
2014-06-09,4049.513
2014-06-10,4097.773
2014-06-11,4121.787
2014-06-12,4119.904
2014-06-13,4165.649
2014-06-16,4191.957
2014-06-17,4158.99
2014-06-18,4125.606
2014-06-19,4011.681
2014-06-20,4056.71
2014-06-23,4106.172
2014-06-24,4136.223
2014-06-25,4120.124
2014-06-26,4180.715
2014-06-27,4217.993
2014-06-30,4263.155
2014-07-01,4289.981
2014-07-02,4319.096
2014-07-03,4344.434
2014-07-04,4343.96
2014-07-07,4346.229
2014-07-08,4382.847
2014-07-09,4322.548
2014-07-10,4336.43
2014-07-11,4368.007
2014-07-14,4423.255
2014-07-15,4395.14
2014-07-16,4346.942
2014-07-17,4334.677
2014-07-18,4340.592
2014-07-21,4329.357
2014-07-22,4382.75
2014-07-23,4335.416
2014-07-24,4306.773
2014-07-25,4342.703
2014-07-28,4410.771
2014-07-29,4467.919
2014-07-30,4498.752
2014-07-31,4531.259
2014-08-01,4484.773
2014-08-04,4550.376
2014-08-05,4584.377
2014-08-06,4604.152
2014-08-07,4568.276
2014-08-08,4608.229
2014-08-11,4676.059
2014-08-12,4706.709
2014-08-13,4714.838
2014-08-14,4703.454
2014-08-15,4754.566
2014-08-18,4828.834
2014-08-19,4853.341
2014-08-20,4859.481
2014-08-21,4869.896
2014-08-22,4911.241
2014-08-25,4886.259
2014-08-26,4796.116
2014-08-27,4827.786
2014-08-28,4789.296
2014-08-29,4842.412
2014-09-01,4934.249
2014-09-02,5010.133
2014-09-03,5052.948
2014-09-04,5102.495
2014-09-05,5132.21
2014-09-09,5175.597
2014-09-10,5216.195
2014-09-11,5214.597
2014-09-12,5287.539
2014-09-15,5360.855
2014-09-16,5184.589
2014-09-17,5228.918
2014-09-18,5268.796
