anchor,cpi_yoy_pct,gs10_pct,ffr_pct,real10_pct,wti_usd,credit_bp,gold_usd
1971.8_nixon,4.358974358974366,6.263233532934132,5.57,,,,41.0
2000.3_dotcom,3.762135922330101,6.307919999999998,5.85,3.44034736,26.730640000000005,197.632,285.0
2007.10_gfc,3.610698365527476,4.763359375,4.76,1.98911422,73.84248062015504,181.1796875,745.0
2021-23_mini,9.1,1.9,1.75,-0.1,94.5,194.65682656826567,1830.0
