year,beta_250d
2011,1.3340314560558044
2012,1.3730384053562905
2013,1.5290037410314061
2014,1.405010622343827
2015,1.3101195652684188
2016,1.4293814996524374
2017,1.4286763565948615
2018,1.2027939343106007
2019,1.3759511554949453
2020,1.4095319276999412
2021,1.141507365477308
2022,1.037902362256726
2023,1.1679390293021834
2024,1.1847359611887145
2025,1.253350170637342
2026,1.2310166738677233
