label,beta,alpha,beta_se,alpha_se,r_squared,adj_r_squared,nobs,t_beta,p_beta,f_statistic,f_pvalue,n_days,direction_same_pct,csi_up_days,broker_avg_when_csi_up,csi_avg_when_csi_up,broker_avg_when_csi_down,csi_avg_when_csi_down,csi_big_up_days,broker_big_up_avg,csi_big_down_days,broker_big_down_avg
2011-2014 熊市底部,1.4127755783507834,0.058760345766188396,0.03407970938393273,0.03563785469549726,0.7724495165612729,0.7721792665809419,844.0,41.45503596978595,0.0,1718.520007256247,1.4987166139832068e-205,844,81.28,401,1.388,0.959,-1.24,-0.935,147,2.906,166,-2.38
2014-2015 杠杆牛,1.2509957694520235,0.14336716507368263,0.06965217594584672,0.12118335242086463,0.604876697029333,0.6032506752064084,245.0,17.960612894917304,3.964065215053639e-72,322.58361556106973,1.7868607672424195e-46,245,79.18,148,1.787,1.338,-1.374,-1.249,77,2.972,34,-2.803
2015-2016 股灾+熔断,1.4207539193680612,0.07483483908621438,0.05537979598310834,0.09120390900506832,0.8489931860200716,0.8483717588020472,245.0,25.654733719160184,3.7438866363050295e-145,658.1653622010144,4.156133137346165e-71,245,84.9,131,2.022,1.343,-2.516,-1.792,61,3.933,58,-4.285
2016-2018 价值牛+质押,1.213362496452178,-0.04258016316673372,0.060174885000502915,0.04377689035548843,0.568254171245169,0.5674677489705701,551.0,20.163935443200884,2.030699939696639e-90,406.58429255757284,4.417991288897178e-68,551,76.23,289,0.716,0.646,-0.828,-0.671,59,1.992,57,-1.98
2018-2020 贸易战+疫情,1.4130298909487542,0.060675794862907015,0.06447275997579162,0.06094283716429365,0.7478681936228873,0.747167827494062,362.0,21.916696159421775,1.8006061859614354e-106,480.3415705444132,2.9953183298660227e-68,362,83.15,181,1.538,1.051,-1.332,-0.991,73,3.0,63,-2.56
2020-2021 结构牛,1.1777571101242144,0.014584267705888932,0.0857583510770283,0.05726926781886779,0.5730827751292447,0.5720806220192194,428.0,13.733439313290328,6.4020788772271785e-43,188.60735537182833,8.593311076464474e-36,428,73.6,235,0.976,0.881,-0.958,-0.905,76,2.471,69,-1.783
2022-2024 调整,1.116434364066186,0.05143260343446125,0.04924779932813122,0.04153184380690601,0.6241912086761118,0.623445556312374,506.0,22.669731019401283,8.913704632736155e-114,513.9167044920048,5.849136656698736e-79,506,78.46,225,0.979,0.836,-0.85,-0.811,70,2.079,78,-1.828
2024-2026 AI行情+修复,1.1490915424712365,0.004506237917413461,0.07779062417337866,0.0456373532432821,0.5959836051730767,0.5953022959069267,595.0,14.771594323631563,2.2336592196885212e-49,218.19999886194424,2.835871811143958e-42,595,78.49,312,0.961,0.83,-0.877,-0.765,95,2.275,65,-1.917
