场景,日均成交额(亿),预测PB(全样本),vs当前PB,预测PB涨幅%,预测PB(2020+模型)
当前(~31116亿/日),31116.7,1.82,0.28,18.0,1.82
1.5万亿/日,15000.0,1.91,0.36,23.6,1.77
2.0万亿/日,20000.0,1.87,0.33,21.4,1.79
2.5万亿/日,25000.0,1.85,0.3,19.7,1.8
3.0万亿/日,30000.0,1.83,0.28,18.3,1.82
2015年峰值(2.2万亿),22000.0,1.86,0.32,20.7,1.79
2024年峰值(3.45万亿),34500.0,1.81,0.27,17.2,1.82
