策略阈值,持仓月份比,策略年化收益,基准年化收益,超额收益,策略Sharpe,基准Sharpe,策略最大回撤,基准最大回撤
日成交>5000亿,76.0%,4.93%,-1.14%,6.07%,0.23,0.021,-40.26%,-47.47%
日成交>8000亿,49.6%,0.74%,-1.14%,1.88%,-0.001,0.021,-28.15%,-47.47%
日成交>10000亿,29.5%,1.24%,-1.14%,2.38%,0.005,0.021,-23.76%,-47.47%
日成交>12000亿,17.8%,2.62%,-1.14%,3.76%,0.106,0.021,-22.69%,-47.47%
