市场阶段,月数,月均日成交额(亿),成交额中位数(亿),成交额峰值(亿),成交额谷值(亿),券商平均PB,PB中位数,PB峰值,PB谷值,指数涨幅(%)
2015-2016 股灾,5,7530.0,7915.0,10616.0,4873.0,5.05,5.41,5.88,3.85,-19.3
2016-2018 熊市,34,4441.0,4510.0,6155.0,2602.0,2.08,1.99,2.9,1.56,-38.6
2019-2021 结构牛,36,8047.0,8043.0,13673.0,2968.0,2.16,2.16,2.75,1.71,48.2
2022-2024 调整,33,8712.0,8768.0,11389.0,5942.0,1.42,1.38,2.23,1.07,0.4
2024-2026 AI行情,21,20054.0,19283.0,31801.0,11832.0,1.67,1.68,1.99,1.37,-5.3
