成交量区间(亿/日),月数,平均PB,PB中位数,PB 25%,PB 75%
0-4000,12,1.75,1.68,1.63,1.88
4000-6000,33,2.22,2.02,1.9,2.31
6000-8000,20,1.94,1.68,1.31,2.17
8000-10000,26,1.87,1.53,1.37,2.25
10000-12000,15,2.18,1.85,1.54,2.39
12000-15000,7,2.1,2.17,1.77,2.38
>15000,16,1.68,1.69,1.62,1.78
