分析时期,样本月数,Pearson r,Pearson p-value,Spearman r,Spearman p-value,Log(Vol)-PB r
全样本 (2015-2026),129,-0.1262,0.154014,-0.1497,0.090457,-0.0855
2015-2016 股灾期,5,0.8853,0.045830,0.7,0.188120,0.9201
2016-2018 熊市,34,0.7904,0.000000,0.7968,0.000000,0.7754
2019-2021 结构牛,36,0.7286,0.000000,0.7454,0.000000,0.7376
2022-2024 调整期,33,0.528,0.001589,0.4886,0.003910,0.5301
2024-2026 AI行情,21,-0.218,0.342537,-0.1584,0.492736,-0.1455
