Date,Adj Close
2026-06-09,398.64274
2026-06-10,394.28372
2026-06-11,406.18397
2026-06-12,409.42404
2026-06-15,412.47949
2026-06-16,408.90135
2026-06-17,405.95132
2026-06-18,414.56170
2026-06-22,417.98008
2026-06-23,413.96783
2026-06-24,415.53033
2026-06-25,418.50473
2026-06-26,418.81790
2026-06-29,418.82268
2026-06-30,420.85166
2026-07-01,419.23903
2026-07-02,416.93452
2026-07-06,418.78536
2026-07-07,415.03747
2026-07-08,411.48123
2026-07-09,416.52816
2026-07-10,414.46424
2026-07-13,411.01866
2026-07-14,412.62409
2026-07-15,414.22366
2026-07-16,413.98892
