Date,Adj Close
2026-06-09,838.45836
2026-06-10,821.84643
2026-06-11,848.87782
2026-06-12,854.37171
2026-06-15,880.59796
2026-06-16,864.00971
2026-06-17,855.44918
2026-06-18,876.63146
2026-06-22,874.95427
2026-06-23,846.12695
2026-06-24,842.46427
2026-06-25,848.80580
2026-06-26,839.53649
2026-06-29,858.44257
2026-06-30,872.92735
2026-07-01,859.49752
2026-07-02,845.66467
2026-07-06,856.34453
2026-07-07,841.19596
2026-07-08,843.49551
2026-07-09,857.18611
2026-07-10,860.00721
2026-07-13,843.81555
2026-07-14,853.10857
2026-07-15,850.69048
2026-07-16,836.94061
