Date,Adj Close
2026-06-09,93.26978
2026-06-10,91.08100
2026-06-11,94.08077
2026-06-12,95.86260
2026-06-15,96.42124
2026-06-16,96.83661
2026-06-17,95.55393
2026-06-18,95.13186
2026-06-22,95.17078
2026-06-23,93.73998
2026-06-24,94.31191
2026-06-25,95.56969
2026-06-26,95.24591
2026-06-29,93.39730
2026-06-30,93.76531
2026-07-01,94.02548
2026-07-02,95.89337
2026-07-06,95.77691
2026-07-07,94.94927
2026-07-08,92.52244
2026-07-09,92.69099
2026-07-10,93.80669
2026-07-13,93.21675
2026-07-14,93.36010
2026-07-15,93.08602
2026-07-16,93.78320
