Date,Adj Close
2026-06-09,364.25857
2026-06-10,355.89379
2026-06-11,372.55892
2026-06-12,378.80069
2026-06-15,389.89536
2026-06-16,380.81485
2026-06-17,383.67873
2026-06-18,395.35156
2026-06-22,403.73642
2026-06-23,385.22103
2026-06-24,384.15200
2026-06-25,396.44169
2026-06-26,380.87536
2026-06-29,392.86046
2026-06-30,401.02052
2026-07-01,382.83640
2026-07-02,369.99146
2026-07-06,376.02505
2026-07-07,365.13215
2026-07-08,368.54262
2026-07-09,375.48003
2026-07-10,376.15573
2026-07-13,367.31569
2026-07-14,373.74528
2026-07-15,365.50283
2026-07-16,354.30060
