Date,Adj Close
2026-06-09,287.92356
2026-06-10,284.73428
2026-06-11,288.26786
2026-06-12,290.62358
2026-06-15,290.58734
2026-06-16,290.56922
2026-06-17,288.30410
2026-06-18,288.48441
2026-06-22,288.73967
2026-06-23,288.24738
2026-06-24,288.08328
2026-06-25,289.79719
2026-06-26,288.77614
2026-06-29,288.88554
2026-06-30,288.21091
2026-07-01,288.48441
2026-07-02,290.90941
2026-07-06,291.96693
2026-07-07,292.95152
2026-07-08,291.38347
2026-07-09,292.78742
2026-07-10,293.73555
2026-07-13,293.22502
2026-07-14,291.98517
2026-07-15,291.96693
2026-07-16,293.20679
