Date,Adj Close
2026-06-09,400.64398
2026-06-10,394.63590
2026-06-11,404.80977
2026-06-12,407.58696
2026-06-15,410.13042
2026-06-16,407.46322
2026-06-17,402.67876
2026-06-18,407.77944
2026-06-22,408.78307
2026-06-23,405.57968
2026-06-24,408.42561
2026-06-25,411.84898
2026-06-26,413.83151
2026-06-29,415.67928
2026-06-30,417.65115
2026-07-01,415.54139
2026-07-02,414.31414
2026-07-06,415.89991
2026-07-07,411.45974
2026-07-08,407.08853
2026-07-09,411.84585
2026-07-10,410.99091
2026-07-13,408.32957
2026-07-14,409.46029
2026-07-15,409.62576
2026-07-16,410.71512
