Date,Adj Close
2026-06-09,106.37631
2026-06-10,104.90240
2026-06-11,107.26794
2026-06-12,108.28694
2026-06-15,110.27035
2026-06-16,109.01479
2026-06-17,108.83283
2026-06-18,110.47233
2026-06-22,111.07351
2026-06-23,107.90363
2026-06-24,107.30244
2026-06-25,107.02918
2026-06-26,106.10007
2026-06-29,107.41175
2026-06-30,108.52303
2026-07-01,107.59393
2026-07-02,107.10205
2026-07-06,109.06956
2026-07-07,106.95631
2026-07-08,107.72145
2026-07-09,107.92185
2026-07-10,108.46838
2026-07-13,106.93809
2026-07-14,107.24779
2026-07-15,107.81254
2026-07-16,107.19314
