Date,Adj Close
2026-06-09,291.50324
2026-06-10,291.03621
2026-06-11,293.25981
2026-06-12,292.97900
2026-06-15,293.19859
2026-06-16,293.58384
2026-06-17,292.65495
2026-06-18,293.38496
2026-06-22,292.44016
2026-06-23,292.89924
2026-06-24,294.42948
2026-06-25,294.43622
2026-06-26,294.51298
2026-06-29,295.05440
2026-06-30,293.34153
2026-07-01,292.71277
2026-07-02,292.80293
2026-07-06,293.14173
2026-07-07,290.95318
2026-07-08,290.52560
2026-07-09,290.82646
2026-07-10,290.19767
2026-07-13,288.90051
2026-07-14,289.27670
2026-07-15,290.26908
2026-07-16,290.26695
