Date,Adj Close
2026-06-09,563.98841
2026-06-10,554.90433
2026-06-11,565.30607
2026-06-12,568.11190
2026-06-15,577.32000
2026-06-16,573.90960
2026-06-17,567.18179
2026-06-18,573.64607
2026-06-22,571.66183
2026-06-23,563.95741
2026-06-24,563.72488
2026-06-25,564.08142
2026-06-26,564.36619
2026-06-29,570.91123
2026-06-30,575.41970
2026-07-01,573.97388
2026-07-02,573.67850
2026-07-06,577.76721
2026-07-07,574.68902
2026-07-08,572.59025
2026-07-09,577.62729
2026-07-10,579.38403
2026-07-13,574.78229
2026-07-14,576.92770
2026-07-15,578.94873
2026-07-16,576.13483
