Date,Adj Close
2026-06-09,113.12139
2026-06-10,113.13182
2026-06-11,113.21132
2026-06-12,114.47847
2026-06-15,115.03987
2026-06-16,115.82882
2026-06-17,114.33067
2026-06-18,115.07942
2026-06-22,115.67453
2026-06-23,116.62976
2026-06-24,117.85569
2026-06-25,118.63360
2026-06-26,119.63211
2026-06-29,119.07051
2026-06-30,117.30121
2026-07-01,115.77241
2026-07-02,118.39225
2026-07-06,117.13815
2026-07-07,118.23388
2026-07-08,117.36867
2026-07-09,116.72739
2026-07-10,117.44116
2026-07-13,118.22918
2026-07-14,118.16846
2026-07-15,117.01402
2026-07-16,117.67161
