Date,Adj Close
2026-06-09,192.78373
2026-06-10,191.33936
2026-06-11,196.10829
2026-06-12,197.92132
2026-06-15,198.04971
2026-06-16,196.99648
2026-06-17,194.41301
2026-06-18,197.95605
2026-06-22,198.04493
2026-06-23,197.33788
2026-06-24,199.48778
2026-06-25,202.08318
2026-06-26,203.98557
2026-06-29,203.55787
2026-06-30,204.88618
2026-07-01,203.79556
2026-07-02,202.39979
2026-07-06,202.80750
2026-07-07,200.91954
2026-07-08,198.61108
2026-07-09,201.02257
2026-07-10,201.04793
2026-07-13,200.27237
2026-07-14,200.86086
2026-07-15,201.90449
2026-07-16,203.28118
