Date,Adj Close
2026-06-09,231.31340
2026-06-10,228.67633
2026-06-11,230.50842
2026-06-12,230.14677
2026-06-15,228.75025
2026-06-16,228.71241
2026-06-17,225.49996
2026-06-18,223.57752
2026-06-22,225.51342
2026-06-23,228.59362
2026-06-24,230.39815
2026-06-25,233.82211
2026-06-26,241.26034
2026-06-29,241.64784
2026-06-30,238.52907
2026-07-01,239.77556
2026-07-02,246.29672
2026-07-06,243.42111
2026-07-07,247.19684
2026-07-08,243.94907
2026-07-09,243.73838
2026-07-10,241.75412
2026-07-13,242.35380
2026-07-14,237.73213
2026-07-15,237.90417
2026-07-16,243.15967
