Date,Adj Close
2026-06-09,203.04480
2026-06-10,202.91368
2026-06-11,204.02250
2026-06-12,203.77483
2026-06-15,204.02569
2026-06-16,204.37261
2026-06-17,203.58810
2026-06-18,204.06873
2026-06-22,203.56239
2026-06-23,203.80552
2026-06-24,204.76685
2026-06-25,204.88464
2026-06-26,205.06682
2026-06-29,205.16836
2026-06-30,204.31877
2026-07-01,203.92640
2026-07-02,203.93674
2026-07-06,204.28396
2026-07-07,203.39125
2026-07-08,203.07351
2026-07-09,203.34025
2026-07-10,203.14556
2026-07-13,202.50495
2026-07-14,202.95971
2026-07-15,203.36586
2026-07-16,203.29546
