Date,Adj Close
2026-06-09,89.07353
2026-06-10,88.63173
2026-06-11,89.32951
2026-06-12,90.54464
2026-06-15,90.86778
2026-06-16,92.22222
2026-06-17,91.74400
2026-06-18,90.91256
2026-06-22,91.40137
2026-06-23,91.73050
2026-06-24,91.45119
2026-06-25,91.01141
2026-06-26,91.34858
2026-06-29,91.47378
2026-06-30,91.33785
2026-07-01,93.28587
2026-07-02,94.76578
2026-07-06,95.62063
2026-07-07,95.45901
2026-07-08,93.63125
2026-07-09,94.59403
2026-07-10,94.87752
2026-07-13,95.45324
2026-07-14,95.65135
2026-07-15,96.27957
2026-07-16,96.66866
