Date,Adj Close
2026-06-09,125.69293
2026-06-10,125.17659
2026-06-11,125.74649
2026-06-12,126.27220
2026-06-15,126.97111
2026-06-16,126.50555
2026-06-17,124.84034
2026-06-18,124.40391
2026-06-22,124.33571
2026-06-23,124.59944
2026-06-24,125.01739
2026-06-25,125.05101
2026-06-26,126.36438
2026-06-29,126.91074
2026-06-30,127.18217
2026-07-01,127.72026
2026-07-02,129.21181
2026-07-06,129.04814
2026-07-07,129.69370
2026-07-08,128.79662
2026-07-09,128.76731
2026-07-10,128.85256
2026-07-13,128.96758
2026-07-14,127.80813
2026-07-15,126.74728
2026-07-16,128.11436
