Date,Adj Close
2026-06-09,183.37845
2026-06-10,183.20571
2026-06-11,184.42938
2026-06-12,184.10349
2026-06-15,184.33807
2026-06-16,184.81151
2026-06-17,183.83548
2026-06-18,184.43756
2026-06-22,183.83016
2026-06-23,184.05320
2026-06-24,185.21941
2026-06-25,185.36621
2026-06-26,185.75756
2026-06-29,185.83527
2026-06-30,184.89168
2026-07-01,184.47295
2026-07-02,184.62287
2026-07-06,184.76300
2026-07-07,183.82676
2026-07-08,183.47922
2026-07-09,183.82497
2026-07-10,183.67037
2026-07-13,183.00100
2026-07-14,183.49644
2026-07-15,183.93869
2026-07-16,183.87167
