Date,Adj Close
2026-06-09,247.11100
2026-06-10,246.98452
2026-06-11,246.85805
2026-06-12,249.28641
2026-06-15,247.41455
2026-06-16,247.97105
2026-06-17,241.82426
2026-06-18,241.74837
2026-06-22,244.32850
2026-06-23,247.59161
2026-06-24,247.45350
2026-06-25,248.04043
2026-06-26,251.84269
2026-06-29,250.49021
2026-06-30,246.04998
2026-07-01,246.99417
2026-07-02,250.20951
2026-07-06,248.16802
2026-07-07,251.12817
2026-07-08,247.12176
2026-07-09,247.70869
2026-07-10,248.39769
2026-07-13,249.67362
2026-07-14,248.98461
2026-07-15,249.64810
2026-07-16,255.36426
