Date,Adj Close
2026-06-09,116.49003
2026-06-10,118.23356
2026-06-11,115.91455
2026-06-12,116.84557
2026-06-15,112.75601
2026-06-16,112.34496
2026-06-17,110.99119
2026-06-18,109.12085
2026-06-22,110.55603
2026-06-23,111.29412
2026-06-24,109.43051
2026-06-25,110.59136
2026-06-26,110.17698
2026-06-29,109.51589
2026-06-30,108.70952
2026-07-01,107.97417
2026-07-02,108.85735
2026-07-06,108.64685
2026-07-07,111.76016
2026-07-08,113.70640
2026-07-09,112.04662
2026-07-10,112.60642
2026-07-13,115.99537
2026-07-14,116.44171
2026-07-15,115.44600
2026-07-16,116.54954
