Date,Adj Close
2026-06-09,193.45562
2026-06-10,192.86620
2026-06-11,195.31909
2026-06-12,194.74132
2026-06-15,194.73007
2026-06-16,195.87007
2026-06-17,196.04103
2026-06-18,196.99198
2026-06-22,195.59576
2026-06-23,195.92198
2026-06-24,198.55354
2026-06-25,198.42757
2026-06-26,198.38736
2026-06-29,198.65722
2026-06-30,196.32760
2026-07-01,195.04939
2026-07-02,195.15797
2026-07-06,194.91631
2026-07-07,192.81465
2026-07-08,192.35782
2026-07-09,192.64454
2026-07-10,192.64421
2026-07-13,191.52960
2026-07-14,191.75528
2026-07-15,192.10577
2026-07-16,192.05868
