Date,Adj Close
2026-06-09,39.02322
2026-06-10,39.13542
2026-06-11,38.75394
2026-06-12,38.30514
2026-06-15,37.78902
2026-06-16,37.29534
2026-06-17,37.45242
2026-06-18,37.04850
2026-06-22,36.68946
2026-06-23,36.33042
2026-06-24,35.52258
2026-06-25,36.03870
2026-06-26,35.56746
2026-06-29,35.63478
2026-06-30,35.63478
2026-07-01,35.56746
2026-07-02,35.58990
2026-07-06,36.12846
2026-07-07,36.42018
2026-07-08,37.16070
2026-07-09,37.00362
2026-07-10,36.84654
2026-07-13,37.92366
2026-07-14,38.19294
2026-07-15,38.32758
2026-07-16,38.10318
