Date,Adj Close
2026-06-09,105.77906
2026-06-10,104.18279
2026-06-11,106.83742
2026-06-12,107.61131
2026-06-15,107.97369
2026-06-16,107.64482
2026-06-17,106.31287
2026-06-18,107.51983
2026-06-22,107.94919
2026-06-23,106.83027
2026-06-24,107.43635
2026-06-25,108.39462
2026-06-26,108.23113
2026-06-29,108.56511
2026-06-30,109.31022
2026-07-01,108.42199
2026-07-02,107.96051
2026-07-06,108.36288
2026-07-07,107.07014
2026-07-08,106.04308
2026-07-09,107.35934
2026-07-10,107.31298
2026-07-13,106.70102
2026-07-14,107.23172
2026-07-15,107.26796
2026-07-16,107.78985
