Date,Adj Close
2026-06-09,51.27175
2026-06-10,51.06590
2026-06-11,51.50926
2026-06-12,51.96846
2026-06-15,51.63594
2026-06-16,51.49343
2026-06-17,50.54337
2026-06-18,50.44836
2026-06-22,50.49586
2026-06-23,50.71754
2026-06-24,50.61066
2026-06-25,51.00967
2026-06-26,51.23312
2026-06-29,50.96179
2026-06-30,50.61066
2026-07-01,50.85007
2026-07-02,51.69597
2026-07-06,51.44061
2026-07-07,51.93538
2026-07-08,51.60021
2026-07-09,51.47253
2026-07-10,51.68001
2026-07-13,51.93538
2026-07-14,51.36080
2026-07-15,51.60021
2026-07-16,52.73340
