Date,Adj Close
2026-06-09,71.31020
2026-06-10,71.01231
2026-06-11,71.54937
2026-06-12,72.02085
2026-06-15,71.89357
2026-06-16,72.18720
2026-06-17,71.00584
2026-06-18,70.97506
2026-06-22,70.81596
2026-06-23,71.29378
2026-06-24,72.01608
2026-06-25,72.51135
2026-06-26,73.39666
2026-06-29,73.32409
2026-06-30,73.06878
2026-07-01,73.60892
2026-07-02,75.06377
2026-07-06,74.52987
2026-07-07,74.78492
2026-07-08,73.60970
2026-07-09,73.24970
2026-07-10,73.84706
2026-07-13,74.07635
2026-07-14,73.21575
2026-07-15,72.79722
2026-07-16,74.54925
