Date,Adj Close
2026-06-09,62.05386
2026-06-10,58.30757
2026-06-11,57.70515
2026-06-12,60.63105
2026-06-15,63.93974
2026-06-16,63.65389
2026-06-17,63.13734
2026-06-18,61.27732
2026-06-22,60.00741
2026-06-23,56.24305
2026-06-24,54.80381
2026-06-25,51.87638
2026-06-26,52.79393
2026-06-29,52.18108
2026-06-30,53.16649
2026-07-01,52.67270
2026-07-02,53.92891
2026-07-06,56.12331
2026-07-07,54.82944
2026-07-08,52.82122
2026-07-09,53.18672
2026-07-10,53.65621
2026-07-13,52.79043
2026-07-14,52.32854
2026-07-15,52.39112
2026-07-16,51.07922
