Date,Adj Close
2026-06-09,159.37725
2026-06-10,161.95159
2026-06-11,161.53447
2026-06-12,162.66811
2026-06-15,161.94158
2026-06-16,162.15626
2026-06-17,158.56661
2026-06-18,157.79425
2026-06-22,156.78587
2026-06-23,159.68874
2026-06-24,161.09420
2026-06-25,160.13930
2026-06-26,161.76758
2026-06-29,160.99847
2026-06-30,158.57582
2026-07-01,158.92522
2026-07-02,162.24243
2026-07-06,160.41666
2026-07-07,161.89041
2026-07-08,161.09017
2026-07-09,158.78408
2026-07-10,160.49764
2026-07-13,161.35180
2026-07-14,159.12822
2026-07-15,159.24223
2026-07-16,163.70544
