Date,Adj Close
2026-06-09,46.68366
2026-06-10,46.89822
2026-06-11,46.82944
2026-06-12,47.23412
2026-06-15,46.73038
2026-06-16,46.87927
2026-06-17,46.24176
2026-06-18,46.04051
2026-06-22,46.12603
2026-06-23,46.72622
2026-06-24,46.66086
2026-06-25,46.94968
2026-06-26,47.50834
2026-06-29,47.23475
2026-06-30,46.77303
2026-07-01,46.74151
2026-07-02,47.84532
2026-07-06,47.27558
2026-07-07,47.93726
2026-07-08,47.50697
2026-07-09,47.07715
2026-07-10,47.27634
2026-07-13,47.66039
2026-07-14,47.15138
2026-07-15,47.33850
2026-07-16,48.54611
