Date,Adj Close
2026-06-09,265.19966
2026-06-10,264.99412
2026-06-11,265.75815
2026-06-12,266.16597
2026-06-15,266.88760
2026-06-16,266.71298
2026-06-17,266.24762
2026-06-18,266.34782
2026-06-22,266.21471
2026-06-23,266.00104
2026-06-24,266.18908
2026-06-25,266.13421
2026-06-26,266.01856
2026-06-29,266.38136
2026-06-30,266.51425
2026-07-01,266.46015
2026-07-02,266.79401
2026-07-06,267.12233
2026-07-07,267.05647
2026-07-08,266.48729
2026-07-09,266.95237
2026-07-10,266.78747
2026-07-13,266.41351
2026-07-14,266.58369
2026-07-15,267.04903
2026-07-16,267.03701
