Date,Adj Close
2026-06-09,64.60056
2026-06-10,64.60887
2026-06-11,64.48973
2026-06-12,65.13924
2026-06-15,64.59383
2026-06-16,64.73207
2026-06-17,63.13132
2026-06-18,62.97891
2026-06-22,63.76640
2026-06-23,64.64105
2026-06-24,64.43590
2026-06-25,64.56668
2026-06-26,65.53944
2026-06-29,65.07507
2026-06-30,63.76245
2026-07-01,63.96515
2026-07-02,64.73827
2026-07-06,64.13356
2026-07-07,65.03613
2026-07-08,63.94607
2026-07-09,64.05146
2026-07-10,64.38808
2026-07-13,64.71941
2026-07-14,64.42834
2026-07-15,64.52876
2026-07-16,65.86535
