Date,Adj Close
2026-06-09,122.32707
2026-06-10,120.76535
2026-06-11,122.13632
2026-06-12,122.68472
2026-06-15,123.93648
2026-06-16,123.45962
2026-06-17,120.78919
2026-06-18,121.75484
2026-06-22,120.40770
2026-06-23,120.59844
2026-06-24,121.75484
2026-06-25,121.77868
2026-06-26,123.29272
2026-06-29,123.67421
2026-06-30,123.96032
2026-07-01,125.39091
2026-07-02,126.79765
2026-07-06,126.52346
2026-07-07,126.36848
2026-07-08,124.83060
2026-07-09,126.04659
2026-07-10,126.70228
2026-07-13,126.85726
2026-07-14,126.15389
2026-07-15,126.53538
2026-07-16,128.29977
