Date,Adj Close
2026-06-09,147.21134
2026-06-10,147.22703
2026-06-11,147.24690
2026-06-12,147.28418
2026-06-15,147.30523
2026-06-16,147.31947
2026-06-17,147.30017
2026-06-18,147.35652
2026-06-22,147.36514
2026-06-23,147.38416
2026-06-24,147.40012
2026-06-25,147.41848
2026-06-26,147.46320
2026-06-29,147.47359
2026-06-30,147.48636
2026-07-01,147.50517
2026-07-02,147.57094
2026-07-06,147.58853
2026-07-07,147.59712
2026-07-08,147.60943
2026-07-09,147.63403
2026-07-10,147.66897
2026-07-13,147.67152
2026-07-14,147.70999
2026-07-15,147.73410
2026-07-16,147.74552
