Date,Adj Close
2026-06-09,397.24451
2026-06-10,382.85502
2026-06-11,374.02880
2026-06-12,384.22373
2026-06-15,399.74834
2026-06-16,397.96302
2026-06-17,398.51406
2026-06-18,388.80638
2026-06-22,385.19101
2026-06-23,379.54566
2026-06-24,369.34707
2026-06-25,367.26373
2026-06-26,373.70871
2026-06-29,369.51031
2026-06-30,369.46954
2026-07-01,375.28566
2026-07-02,378.93063
2026-07-06,379.99257
2026-07-07,381.35165
2026-07-08,373.12212
2026-07-09,378.98869
2026-07-10,376.13872
2026-07-13,370.67525
2026-07-14,373.95194
2026-07-15,372.72731
2026-07-16,366.42327
