Date,Adj Close
2026-06-09,1342.03204
2026-06-10,1320.37268
2026-06-11,1343.45961
2026-06-12,1350.26487
2026-06-15,1372.84000
2026-06-16,1365.09513
2026-06-17,1348.56627
2026-06-18,1363.15796
2026-06-22,1358.17996
2026-06-23,1338.68728
2026-06-24,1337.37559
2026-06-25,1337.29933
2026-06-26,1336.69307
2026-06-29,1352.39935
2026-06-30,1363.23665
2026-07-01,1360.35188
2026-07-02,1360.39352
2026-07-06,1370.37738
2026-07-07,1364.28036
2026-07-08,1360.43936
2026-07-09,1371.55620
2026-07-10,1377.45950
2026-07-13,1366.54443
2026-07-14,1371.67470
2026-07-15,1377.00349
2026-07-16,1369.97991
