Date,Adj Close
2026-06-09,348.40674
2026-06-10,344.61260
2026-06-11,349.00190
2026-06-12,350.81714
2026-06-15,352.34968
2026-06-16,352.30504
2026-06-17,349.04654
2026-06-18,349.70122
2026-06-22,350.16246
2026-06-23,348.34723
2026-06-24,348.91263
2026-06-25,349.87976
2026-06-26,350.81536
2026-06-29,352.54866
2026-06-30,353.71416
2026-07-01,353.32566
2026-07-02,356.68768
2026-07-06,357.09112
2026-07-07,357.00147
2026-07-08,354.79001
2026-07-09,356.49343
2026-07-10,356.88193
2026-07-13,356.22447
2026-07-14,354.47622
2026-07-15,354.67047
2026-07-16,357.25549
