event_type,n,alpha20_mean,alpha20_median,win20,t20,p20,alpha60_mean,alpha60_median,win60,t60,p60
first_in_60d,299,-0.0028,-0.0144,0.458,-0.3,0.7614,-0.002,-0.05413,0.401,-0.13,0.8995
repeat,11999,0.00914,-0.01672,0.462,4.82,0.0,0.01282,-0.04556,0.428,4.21,0.0
