cap_mult,floor,horizon,size_weighted_alpha
1.5,0.005,20,-0.00357
1.5,0.005,60,-0.00606
1.5,0.02,20,-0.00357
1.5,0.02,60,-0.00606
2.0,0.005,20,-0.00369
2.0,0.005,60,-0.00638
2.0,0.02,20,-0.00369
2.0,0.02,60,-0.00638
3.0,0.005,20,-0.00369
3.0,0.005,60,-0.00638
3.0,0.02,20,-0.00369
3.0,0.02,60,-0.00638
4.0,0.005,20,-0.00369
4.0,0.005,60,-0.00638
4.0,0.02,20,-0.00369
4.0,0.02,60,-0.00638
