n,mean_alpha,median_alpha,mean_ret,win_rate,std_alpha,t,p,variant,year,horizon
90,-0.010293442248604609,-0.02127061634179343,0.027227862794605723,0.43333333333333335,0.16388885459993394,-0.596,0.5528,V0_uniform_0pct,2025,20
90,-0.01615539492032499,-0.04987713382841036,0.0791554616007442,0.4,0.2743375397277889,-0.559,0.5778,V0_uniform_0pct,2025,60
90,-0.010293442248604609,-0.02127061634179343,0.027227862794605723,0.43333333333333335,0.16388885459993394,-0.596,0.5528,V1_uniform_50pct,2025,20
90,-0.01615539492032499,-0.04987713382841036,0.0791554616007442,0.4,0.2743375397277889,-0.559,0.5778,V1_uniform_50pct,2025,60
90,-0.010293442248604609,-0.02127061634179343,0.027227862794605723,0.43333333333333335,0.16388885459993394,-0.596,0.5528,V2_uniform_100pct,2025,20
90,-0.01615539492032499,-0.04987713382841036,0.0791554616007442,0.4,0.2743375397277889,-0.559,0.5778,V2_uniform_100pct,2025,60
90,-0.010293442248604609,-0.02127061634179343,0.027227862794605723,0.43333333333333335,0.16388885459993394,-0.596,0.5528,V4_conf_8f_ge4,2025,20
90,-0.01615539492032499,-0.04987713382841036,0.0791554616007442,0.4,0.2743375397277889,-0.559,0.5778,V4_conf_8f_ge4,2025,60
90,-0.010293442248604609,-0.02127061634179343,0.027227862794605723,0.43333333333333335,0.16388885459993394,-0.596,0.5528,V6_conf_2f_ge4,2025,20
90,-0.01615539492032499,-0.04987713382841036,0.0791554616007442,0.4,0.2743375397277889,-0.559,0.5778,V6_conf_2f_ge4,2025,60
98,0.03416740373004222,-0.013861989136937614,0.09572404124242274,0.45918367346938777,0.24864140039997315,1.36,0.1769,V3_conf_8f_ge3,2025,20
98,0.0191814465000541,-0.03270783184196317,0.15525767699171783,0.45918367346938777,0.313095246349282,0.606,0.5456,V3_conf_8f_ge3,2025,60
98,0.03416740373004222,-0.013861989136937614,0.09572404124242274,0.45918367346938777,0.24864140039997315,1.36,0.1769,V5_uniform_50pct_ge3,2025,20
98,0.0191814465000541,-0.03270783184196317,0.15525767699171783,0.45918367346938777,0.313095246349282,0.606,0.5456,V5_uniform_50pct_ge3,2025,60
57,0.02127336267119322,0.034754302449736124,0.0033704614854210796,0.5964912280701754,0.21518342889089967,0.746,0.4586,V0_uniform_0pct,2026,20
57,0.07348053720912774,-0.013508409783704461,-0.03639492101842901,0.47368421052631576,0.39610692616111176,1.401,0.1669,V0_uniform_0pct,2026,60
57,0.02127336267119322,0.034754302449736124,0.0033704614854210796,0.5964912280701754,0.21518342889089967,0.746,0.4586,V1_uniform_50pct,2026,20
57,0.07348053720912774,-0.013508409783704461,-0.03639492101842901,0.47368421052631576,0.39610692616111176,1.401,0.1669,V1_uniform_50pct,2026,60
57,0.02127336267119322,0.034754302449736124,0.0033704614854210796,0.5964912280701754,0.21518342889089967,0.746,0.4586,V2_uniform_100pct,2026,20
57,0.07348053720912774,-0.013508409783704461,-0.03639492101842901,0.47368421052631576,0.39610692616111176,1.401,0.1669,V2_uniform_100pct,2026,60
57,0.02127336267119322,0.034754302449736124,0.0033704614854210796,0.5964912280701754,0.21518342889089967,0.746,0.4586,V4_conf_8f_ge4,2026,20
57,0.07348053720912774,-0.013508409783704461,-0.03639492101842901,0.47368421052631576,0.39610692616111176,1.401,0.1669,V4_conf_8f_ge4,2026,60
57,0.02127336267119322,0.034754302449736124,0.0033704614854210796,0.5964912280701754,0.21518342889089967,0.746,0.4586,V6_conf_2f_ge4,2026,20
57,0.07348053720912774,-0.013508409783704461,-0.03639492101842901,0.47368421052631576,0.39610692616111176,1.401,0.1669,V6_conf_2f_ge4,2026,60
79,0.006246494312281406,-0.017103626384596837,0.01334002842626073,0.46835443037974683,0.214632651641199,0.259,0.7966,V3_conf_8f_ge3,2026,20
79,0.00484533131987413,-0.01907869122406243,-0.03831924558998631,0.4810126582278481,0.34193319074095785,0.126,0.9001,V3_conf_8f_ge3,2026,60
79,0.006246494312281406,-0.017103626384596837,0.01334002842626073,0.46835443037974683,0.214632651641199,0.259,0.7966,V5_uniform_50pct_ge3,2026,20
79,0.00484533131987413,-0.01907869122406243,-0.03831924558998631,0.4810126582278481,0.34193319074095785,0.126,0.9001,V5_uniform_50pct_ge3,2026,60
