tier,hold,cost_per_side,entry_lag,exit_rule,n_trades,ann_sharpe,max_dd,total_ret,avg_positions,turnover_ann,tag
ge3,10,0.00275,0,next_signal_pNone,1051,-0.7151,-0.4434,-0.3496,7.76,94.59,
ge3,10,0.00275,0,silence_p3,1051,-0.977,-0.4735,-0.4344,7.68,101.05,
ge3,10,0.00275,0,silence_p5,1051,-1.1772,-0.5075,-0.472,10.56,82.24,
ge3,20,0.00275,0,next_signal_pNone,1051,-0.2109,-0.3647,-0.1599,10.7,75.29,
ge3,20,0.00275,0,silence_p3,1051,-0.977,-0.4735,-0.4344,7.68,101.05,
ge3,20,0.00275,0,silence_p5,1051,-1.1618,-0.5029,-0.4671,10.57,82.21,
