cluster_gap,tag,n_events,n_trades,ann_sharpe,max_dd,total_ret,avg_positions,turnover_ann
20,gross,2030,2030,0.8725,-0.3975,0.4849,70.65,27.94
20,net,2030,2030,0.611,-0.4075,0.2856,70.65,27.94
60,gross,1051,1051,1.1447,-0.3718,0.6777,44.99,27.05
60,net,1051,1051,0.8755,-0.3819,0.4592,44.99,27.05
90,gross,789,789,0.8773,-0.3997,0.4877,33.67,26.58
90,net,789,789,0.6275,-0.4083,0.297,33.67,26.58
