date,code,open,close,high,low,volume
2022-11-23,000858,150.23,149.77,151.5,148.9,11346208
2022-11-24,000858,151.0,147.81,151.49,147.0,15085804
2022-11-25,000858,147.93,147.38,148.93,146.4,10676624
2022-11-28,000858,144.83,147.65,148.01,142.05,19013147
2022-11-29,000858,149.92,155.05,155.15,149.9,41040650
2022-11-30,000858,154.8,156.86,159.97,154.0,25228605
2022-12-01,000858,165.0,164.59,169.99,163.86,44092117
2022-12-02,000858,164.8,163.06,166.88,162.26,21047820
2022-12-05,000858,168.88,168.51,169.98,165.68,29795799
2022-12-06,000858,167.97,175.4,178.22,167.1,43369522
2022-12-07,000858,175.41,173.68,177.8,173.01,31128834
2022-12-08,000858,173.0,174.76,175.55,172.01,15644818
2022-12-09,000858,174.63,183.27,183.47,174.12,41957765
2022-12-12,000858,182.0,178.35,183.38,177.91,29905954
2022-12-13,000858,178.0,179.47,180.9,176.02,19276219
2022-12-14,000858,179.45,184.08,185.27,178.36,28698912
2022-12-15,000858,184.2,181.96,185.8,180.77,19934421
2022-12-16,000858,180.22,182.52,183.08,178.66,18642633
2022-12-19,000858,183.5,179.95,184.71,179.0,19418435
2022-12-20,000858,179.94,172.51,180.5,169.88,34345756
2022-12-21,000858,175.0,174.49,175.67,173.55,15385319
2022-12-22,000858,176.03,179.5,181.55,174.67,24442393
2022-12-23,000858,177.0,180.29,183.0,176.4,19861964
2022-12-26,000858,180.29,178.6,181.2,177.56,17829834
2022-12-27,000858,180.0,181.05,182.5,179.15,15227535
2022-12-28,000858,180.99,180.18,180.99,177.88,13937786
2022-12-29,000858,179.0,178.75,180.0,176.74,16850491
2022-12-30,000858,179.78,180.69,181.19,179.0,14976495
2023-01-03,000858,181.0,178.2,181.81,176.51,18206204
2023-01-04,000858,178.0,178.62,180.5,176.3,12883584
2023-01-05,000858,181.5,189.0,189.51,180.4,40279056
2023-01-06,000858,191.11,190.46,191.11,187.78,23338295
2023-01-09,000858,192.45,195.88,196.89,190.16,27557314
2023-01-10,000858,195.8,195.24,196.71,194.61,20275236
2023-01-11,000858,195.04,194.1,195.99,192.6,16999458
2023-01-12,000858,195.0,193.39,195.77,192.01,13822699
2023-01-13,000858,193.39,198.58,199.41,193.34,24506446
2023-01-16,000858,200.0,206.52,209.27,200.0,36352479
2023-01-17,000858,207.0,202.86,207.78,201.61,21507890
2023-01-18,000858,204.93,205.8,211.79,204.32,27241217
2023-01-19,000858,206.45,205.3,206.5,202.35,18119892
2023-01-20,000858,207.89,208.72,212.0,207.1,27348025
2023-01-30,000858,218.59,217.6,219.89,214.28,32180876
2023-01-31,000858,216.99,209.0,217.77,208.9,25724708
2023-02-01,000858,208.5,210.06,210.6,203.76,25655223
2023-02-02,000858,211.69,212.51,214.5,210.15,18327161
2023-02-03,000858,210.0,210.0,212.0,206.0,19935209
2023-02-06,000858,199.53,201.7,204.53,197.28,33407544
2023-02-07,000858,201.7,203.17,205.3,201.5,15811588
2023-02-08,000858,203.17,199.55,204.0,198.22,16905733
2023-02-09,000858,199.66,207.39,207.74,199.55,24493992
2023-02-10,000858,207.39,204.7,207.48,203.12,14032129
2023-02-13,000858,203.0,212.4,214.9,202.99,28908783
2023-02-14,000858,212.4,209.24,213.75,208.6,18490190
2023-02-15,000858,211.59,211.0,213.89,209.5,16925791
2023-02-16,000858,209.35,210.79,214.68,207.8,21337960
2023-02-17,000858,209.45,208.15,214.45,208.0,18446776
2023-02-20,000858,208.2,212.95,213.8,205.5,19166754
2023-02-21,000858,212.5,210.08,212.62,208.5,13939573
2023-02-22,000858,208.45,207.5,210.54,206.5,14100545
2023-02-23,000858,206.5,205.1,208.22,203.7,14580801
2023-02-24,000858,205.07,201.1,205.07,199.82,20395718
2023-02-27,000858,199.06,204.81,206.23,198.84,17299557
2023-02-28,000858,207.0,204.42,208.06,202.08,11480142
2023-03-01,000858,204.17,207.38,208.85,202.9,15446575
2023-03-02,000858,206.1,206.24,207.61,205.36,7447671
2023-03-03,000858,208.0,205.76,209.46,203.5,9283668
2023-03-06,000858,205.01,204.58,206.5,202.58,11140226
2023-03-07,000858,204.35,200.45,204.35,200.11,12527207
2023-03-08,000858,199.0,199.3,201.5,198.0,10219130
2023-03-09,000858,199.0,198.0,199.7,193.9,16850486
2023-03-10,000858,196.21,195.24,199.58,195.17,11095657
2023-03-13,000858,195.0,198.6,200.28,195.0,12647223
2023-03-14,000858,198.7,195.28,198.72,193.7,10284259
2023-03-15,000858,198.0,192.32,199.33,192.3,12988009
2023-03-16,000858,191.0,191.2,194.2,189.33,12054371
2023-03-17,000858,193.85,188.5,194.24,188.0,15607045
2023-03-20,000858,190.0,185.9,190.59,185.0,15464264
2023-03-21,000858,187.4,192.24,193.11,185.22,18789280
2023-03-22,000858,192.25,191.77,196.08,191.42,10853212
2023-03-23,000858,190.9,194.58,195.99,190.06,13284214
2023-03-24,000858,194.0,193.02,195.95,191.5,10253022
2023-03-27,000858,192.81,190.41,192.84,189.0,11879852
2023-03-28,000858,190.39,192.5,193.91,190.21,10918609
2023-03-29,000858,194.0,195.28,196.0,191.6,15953932
2023-03-30,000858,195.28,198.39,198.96,194.18,15148689
2023-03-31,000858,201.0,197.0,202.0,197.0,12758987
2023-04-03,000858,196.98,195.19,197.0,193.08,13366024
2023-04-04,000858,195.5,196.15,196.66,192.95,14247340
2023-04-06,000858,195.0,190.54,195.0,189.07,15107492
2023-04-07,000858,189.8,189.06,191.83,187.54,11303817
2023-04-10,000858,185.0,184.65,185.02,178.2,33973209
2023-04-11,000858,183.97,180.53,184.15,180.01,19119446
2023-04-12,000858,181.0,175.82,181.11,175.55,27283391
2023-04-13,000858,176.0,177.88,179.9,175.55,21080214
2023-04-14,000858,178.22,175.59,178.5,175.03,14465308
2023-04-17,000858,176.79,178.18,179.92,176.49,18555289
2023-04-18,000858,179.0,178.32,180.17,177.58,14406696
2023-04-19,000858,178.67,176.29,178.96,175.5,12617246
2023-04-20,000858,176.34,173.5,176.98,172.5,14800856
2023-04-21,000858,174.0,172.0,175.3,171.8,12091951
2023-04-24,000858,172.1,168.0,172.9,167.5,17609069
2023-04-25,000858,168.0,169.8,169.88,165.65,15489726
2023-04-26,000858,169.1,168.61,171.18,167.58,14812682
2023-04-27,000858,168.6,169.17,170.3,166.4,15039314
2023-04-28,000858,171.26,169.0,171.95,167.88,17938564
2023-05-04,000858,172.5,168.95,172.95,167.45,26587793
2023-05-05,000858,168.95,173.71,174.1,168.25,25172690
2023-05-08,000858,174.5,171.4,175.5,170.79,17753373
2023-05-09,000858,170.83,174.77,177.5,170.0,22292312
2023-05-10,000858,172.8,173.32,174.5,171.59,11890994
2023-05-11,000858,173.98,172.57,176.49,172.21,12289631
2023-05-12,000858,172.2,169.37,174.5,169.36,12959157
2023-05-15,000858,168.25,172.44,172.49,168.03,13079986
2023-05-16,000858,172.3,170.49,172.36,169.8,9936468
2023-05-17,000858,170.0,169.34,170.9,168.75,8602150
2023-05-18,000858,169.49,168.66,170.71,168.0,8780386
2023-05-19,000858,168.09,170.8,171.26,166.75,12074586
2023-05-22,000858,170.89,177.61,179.06,169.08,30244522
2023-05-23,000858,177.8,174.0,178.5,174.0,13672431
2023-05-24,000858,173.52,170.35,173.98,170.35,13355066
2023-05-25,000858,169.42,168.2,169.68,167.45,14392525
2023-05-26,000858,168.2,170.1,171.89,168.0,12287480
2023-05-29,000858,170.94,168.26,171.85,167.58,12976880
2023-05-30,000858,168.0,165.17,169.45,163.5,18360334
2023-05-31,000858,165.0,161.18,165.13,160.02,21344841
2023-06-01,000858,162.49,163.32,166.6,161.2,16901644
2023-06-02,000858,165.0,167.9,168.4,163.33,19208397
2023-06-05,000858,167.28,165.2,167.68,164.63,11344697
2023-06-06,000858,166.3,165.62,168.43,164.53,13536764
