n,mean,win,t,p,caliber
7066,0.00467,0.483,5.81,0.0,lit-window-only (BT-018 sustained)
10236,0.00732,0.457,3.7,0.0002,20d-forward (BT-016-style)
9761,0.00603,0.427,1.9,0.0574,60d-forward (BT-016-style)
