variant,year,ret,sharpe,n_days
V1_uniform_50pct,2025,0.322,1.355,243
V1_uniform_50pct,2026,0.0104,0.051,148
V4_conf_8f,2025,0.3015,1.318,243
V4_conf_8f,2026,0.0706,0.369,148
V6_conf_2f,2025,0.3343,1.4,243
V6_conf_2f,2026,0.0139,0.067,148
